@ Q1         %le              45.5460667
@ Q2         %le              43.6041000
@ OpticsFile %s      optics$file
@ SEQUENCE   %s        SuperKEKB
* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002         2.9087358        93.6285972        -5.2990847      -176.6390896          .2203223          .2490992          .2203223          .2490992
  MQC2LE              MONI                         2.2500008       142.9688048       291.1407337      -106.7116067       168.5324000          .2410243          .2499778          .0207020 8.785523267677E-4
  MQLC2LE             MONI                         5.6754722       173.3538813        91.5726167        12.7268301        10.0666773          .2436518          .2541906          .0026275          .0042128
  MQLC3LE             MONI                        12.9355133        26.9933253         7.6774363         1.1608736         3.9602896          .2616968          .2953789          .0180450          .0411883
  MQLC4LE             MONI                        19.0261011        15.0765434        42.2883848         1.7004484       -12.1016060          .3090789          .7388585          .0473821          .4434796
  MQLC5LE             MONI                        21.8468461         7.5372219       138.3021279          .9723638       -21.9368282          .3517006          .7447301          .0426217          .0058716
  MQLC7LE             MONI                        27.2720861         9.3764221       227.9670433        -1.0647787         2.7768696          .4721468          .7492946          .1204462          .0045644
  MQLY1LE1            MONI                        29.2820861        15.7603788       199.3109730        -3.1027329        24.1097585          .4994495          .7507472          .0273027          .0014527
  MQLY2LE1            MONI                        34.4377861        65.6771711        28.3618351        -6.5791323         9.0475504          .5250644          .7616696          .0256150          .0109223
  MQLY3LE             MONI                        41.6978296         5.4763094         1.8734863          .6651134         -.0310241          .5874587         1.0380527          .0623943          .2763832
  MQLY2LE2            MONI                        48.0578731         6.3722924        28.3794939          .4501620        -9.0490864          .8077634         1.2376681          .2203047          .1996154
  MQLY1LE2            MONI                        53.2135731         6.7471829       199.3221823         -.5228758       -24.1069717          .9517619         1.2485868          .1439984          .0109186
  MQLB1LE             MONI                        55.2235731        12.5617527       227.9626232        -1.9840866        -2.7726728          .9879476         1.2500394          .0361857          .0014526
  MQLB2LE             MONI                        60.0235180        79.8695707        35.0676153       -10.6298044        12.5749176         1.0136916         1.2580613          .0257441          .0080219
  MQLB3LE             MONI                        68.9853633         2.3055551         4.5852967         -.4171011          .7201932         1.1670333         1.6717843          .1533416          .4137230
  MQLB4LE             MONI                        77.1787307        35.3516866        18.1118897         4.2598365        -5.8434664         1.3202075         1.9465966          .1531743          .2748123
