* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  QC1LPE435           MULT                          .4300001         1.9488769        61.6328636        -4.2994736      -143.3173115          .2136357          .2488897 -1.00825391524E-8 1.960851516081E-7 1.523804608850E-6          .2136357          .2488897
  QC1LPE445           MULT                          .4400001         2.0358661        64.5325378        -4.3994400      -146.6495853          .2144347          .2489149 -7.92804214436E-9 3.370723635656E-7 4.502034790185E-6          .2144347          .2489149
  QC1LPE455           MULT                          .4500001         2.1248547        67.4988575        -4.4994051      -149.9818318          .2151999          .2489391 -6.69801161845E-9 4.313469693509E-7 7.442400639140E-6          .2151999          .2489391
  QC1LPE465           MULT                          .4600001         2.2158426        70.5318221        -4.5993689      -153.3140502          .2159334          .2489621 -6.31342412844E-9 5.299369438637E-7 1.041711434193E-5          .2159334          .2489621
  QC1LPE475           MULT                          .4700001         2.3088297        73.6314312        -4.6993315      -156.6462434          .2166371          .2489842 -6.37165704288E-9 6.344816564195E-7 1.343520276718E-5          .2166371          .2489842
  QC1LPE485           MULT                          .4800001         2.4038161        76.7976842        -4.7992928      -159.9784147          .2173126          .2490054 -6.89454161772E-9 7.461259074388E-7 1.650830049135E-5          .2173126          .2490054
  QC1LPE495           MULT                          .4900001         2.5008017        80.0305808        -4.8992531      -163.3105676          .2179618          .2490257 -7.97770791272E-9 8.662224928497E-7 1.965202329401E-5          .2179618          .2490257
  QC1LPE505           MULT                          .5000001         2.5997865        83.3301206        -4.9992123      -166.6427060          .2185860          .2490452 -9.75316679689E-9 9.964089953749E-7 2.288712777143E-5          .2185860          .2490452
  QC1LPE515           MULT                          .5100001         2.7007705        86.6963033        -5.0991705      -169.9748345          .2191866          .2490639 -1.23915166815E-8 1.138670080676E-6 2.624112335160E-5          .2191866          .2490639
  QC1LPE525           MULT                          .5200001         2.8037536        90.1291289        -5.1991280      -173.3069597          .2197650          .2490819 -1.61129390938E-8 1.295410697202E-6 2.975082276704E-5          .2197650          .2490819
  MQC1LE              MONI                          .5300002         2.9087358        93.6285972        -5.2990847      -176.6390896          .2203223          .2490992          .0000000          .0000000          .0000000          .2203223          .2490992
  QC1LPE535           MULT                          .5300002         2.9087358        93.6285972        -5.2990847      -176.6390896          .2203223          .2490992 -2.12035174326E-8 1.469539268983E-6 3.346580040761E-5          .2203223          .2490992
  QC1LPE545           MULT                          .5400002         3.0157171        97.1947085        -5.3990408      -179.9712332          .2208596          .2491159 -2.80379669082E-8 1.664557503724E-6 3.745322144513E-5          .2208596          .2491159
  QC1LPE555           MULT                          .5500002         3.1246975       100.8274630        -5.4989965      -183.3033992          .2213781          .2491320 -3.71113406432E-8 1.884647091922E-6 4.180459364438E-5          .2213781          .2491320
