@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:27:16"
@ Model_directory %s "model/"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ Q1 %le 0.544071273688
@ Q2 %le 0.5930976731067423
@ FILENAME %s "getCOy.out"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL               DELTAY
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       1.044571727277                  nan                  nan            0.2490992                  nan
                MQC2LE            2.2500008                    1      0.4979523332833                  nan                  nan            0.2499778                  nan
               MQLC3LE           12.9355133                    1        1.25015487017                  nan                  nan            0.2953789                  nan
               MQLC7LE           27.2720861                    1       1.926743145946                  nan                  nan            0.7492946                  nan
               MQLB1LE           55.2235731                    1      0.4821826132121                  nan                  nan            1.2500394                  nan
               MQLB4LE           77.1787307                    1      0.4954578065012                  nan                  nan            1.9465966                  nan
               MQLA2LE           98.9121927                    1      0.5696985501001                  nan                  nan            2.4533248                  nan
               MQLA5LE          119.0986538                    1     0.09092580874207                  nan                  nan              2.94926                  nan
                MQD3E1          164.5639584                    1      0.3104438410954                  nan                  nan            3.4064553                  nan
                MQEAE4          230.8020191                    1      0.3692198476935                  nan                  nan            4.3815318                  nan
                MQD3E4          270.0136808                    1       1.295354591542                  nan                  nan            5.0411482                  nan
                MQEAE6          306.4724249                    1       1.007930762262                  nan                  nan            5.5047961                  nan
              MQTATNE1          354.4092937                    1       1.262541168468                  nan                  nan            6.2268103                  nan
              MQTATNE2          397.7476034                    1      0.8238099659159                  nan                  nan            6.6685508                  nan
                MQEAE8          472.7108711                    1     -0.9799818767267                  nan                  nan            7.7060253                  nan
                MQD3E8          511.9225329                    1      -0.105600059154                  nan                  nan            8.3656416                  nan
               MQEAE10          548.3812769                    1       0.464888526275                  nan                  nan            8.8292895                  nan
               MQEAE11          597.0252838                    1       1.174788576877                  nan                  nan            9.6370935                  nan
               MQR2NE1          696.7698054                    1        -1.1337073004                  nan                  nan             10.85891                  nan
               MQFRNE3          753.3246054                    1      0.3423659328757                  nan                  nan           11.4337841                  nan
