@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:50:30"
@ Model_directory %s "model/"
@ Q1 %le 0.544071273688
@ Q2 %le 0.5930976731067423
@ RMSbetabeat %le 2.9776578919520955
@ RescalingFactor %le 0.20068723129394286
@ FILENAME %s "getampbetay.out"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            DELTABETY              BETYRES           BETYSTDRES
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       3.660070280027                    0           93.6285972            0.2490992     -0.9609086284588      0.7345293708399                    0
                MQC2LE            2.2500008                    1       10.56909583083                    0          291.1407337            0.2499778      -0.963697639638        2.12108257957                    0
               MQLC3LE           12.9355133                    1       3.057472805546                    0            7.6774363            0.2953789     -0.6017586227911      0.6135957521015                    0
               MQLC7LE           27.2720861                    1     0.08336061357234                    0          227.9670433            0.7492946     -0.9996343304174      0.0167294107368                    0
               MQLB1LE           55.2235731                    1       12.87376637533                    0          227.9626232            1.2500394     -0.9435268545579       2.583600530191                    0
               MQLB4LE           77.1787307                    1       20.21537949811                    0           18.1118897            1.9465966      0.1161386157354       4.056968541032                    0
               MQLA2LE           98.9121927                    1       5.819432965518                    0           17.1404258            2.4533248     -0.6604849241541        1.16788588955                    0
               MQLA5LE          119.0986538                    1        2.78003128762                    0          234.1217208              2.94926     -0.9881257011177       0.557916782023                    0
                MQD3E1          164.5639584                    1       23.42241844115                    0           20.9498176            3.4064553      0.1180249340765       4.700580307163                    0
                MQEAE4          230.8020191                    1        1.27222592275                    0            7.6858431            4.3815318     -0.8344715204049       0.255319498017                    0
                MQD3E4          270.0136808                    1       14.95458639798                    0           20.9498176            5.0411482     -0.2861710453278       3.001194539357                    0
                MQEAE6          306.4724249                    1       1.208189709939                    0            7.6858431            5.5047961      -0.842803230014      0.2424682477655                    0
              MQTATNE1          354.4092937                    1       10.68299749228                    0           14.5078121            6.2268103     -0.2636382785602       2.143941188646                    0
              MQTATNE2          397.7476034                    1       28.01717401523                    0           14.5078121            6.6685508      0.9311784452483       5.622689081798                    0
                MQEAE8          472.7108711                    1       5.626204660561                    0            7.6858431            7.7060253     -0.2679782052067       1.129107436021                    0
                MQD3E8          511.9225329                    1       5.199265502674                    0           20.9498176            8.3656416     -0.7518228749317       1.043426198494                    0
               MQEAE10          548.3812769                    1       5.657093821843                    0            7.6858431            8.8292895      -0.263959236711       1.135306496276                    0
               MQEAE11          597.0252838                    1       26.92256232612                    0            7.6858431            9.6370935       2.502876909642       5.403014492568                    0
               MQR2NE1          696.7698054                    1       5.174610589522                    0            9.2517301             10.85891     -0.4406872516177       1.038478272236                    0
               MQFRNE3          753.3246054                    1       16.75589242141                    0            9.2517568           11.4337841      0.8111038566651       3.362693657911                    0
               MQDRNE5          781.6020054                    1        21.0892333271                    0           30.1970047           11.7122452      -0.301611748032       4.232339846528                    0
               MQEAE13           881.197528                    1       7.877820045522                    0            7.6858431           12.8899378      0.0249779943494       1.580977893568                    0
               MQD3E12          947.4355886                    1       11.18167294752                    0           20.9498176           13.8650143     -0.4662639474476       2.244018985072                    0
               MQEAE16          983.8943327                    1      0.6505426445552                    0            7.6858431           14.3286622     -0.9153583235969      0.1305556021744                    0
               MQD3E14         1023.1059944                    1       1.332866580039                    0           20.9498176           14.9882786     -0.9363781296101      0.2674893036322                    0
               MQEAE18         1059.5647385                    1      0.4519390862884                    0            7.6858431           15.4519265     -0.9411985021802     0.09069840394072                    0
              MQTANFE1         1107.5016074                    1       4.236771251095                    0           14.5078121           16.1739407      -0.707966216967       0.850265892008                    0
               MQD3E16         1189.3444407                    1       2.067748870596                    0           20.9498176           17.1895078     -0.9012999105731      0.4149707958512                    0
               MQEAE20         1225.8031848                    1       5.804142309355                    0            7.6858431           17.6531557     -0.2448268545379       1.164817250101                    0
               MQD3E18         1265.0148465                    1       1.775151846176                    0           20.9498176            18.312772      -0.915266477252      0.3562503091354                    0
               MQEAE22         1301.4735906                    1       1.822623808071                    0            7.6858431           18.7764199     -0.7628596128808      0.3657773257322                    0
               MQEAE23         1350.1175975                    1       11.66944356321                    0            7.6858431           19.5842239      0.5183036410417       2.341908319441                    0
                 MQI6E         1404.3012987                    1       7.421357402907                    0           27.8083512           20.2018289     -0.7331248677949       1.489371669632                    0
                 MQI5E         1418.7440064                    1      0.2581815774562                    0           69.7334913           20.2546404     -0.9962975957084     0.05181374595078                    0
                 MQI4E         1424.1361014                    1       4.220895944471                    0           30.1163345           20.2734103     -0.8598469563263      0.8470799206757                    0
                MQX2RE         1494.6206604                    1       1.678140387574                    0           22.2827608           21.2341795     -0.9246888479109      0.3367813481047                    0
                 MQM2E         1564.3492168                    1       5.432808925931                    0           28.5508884           22.0286912     -0.8097148904855       1.090295381494                    0
                 MQM7E         1608.8759522                    1       9.639753421692                    0           35.6097046           22.6624348     -0.7292942042071       1.934575424556                    0
               MQEAE25         1634.7988225                    1       14.16148747133                    0            7.6858431           22.9865152      0.8425418379062       2.842029711626                    0
               MQD3E21         1671.2575666                    1       6.592421593272                    0           20.9498176           23.4501631     -0.6853231985527       1.323014837076                    0
               MQEAE27         1710.4692283                    1       2.447030293499                    0            7.6858431           24.1097794     -0.6816184949835      0.4910877344947                    0
               MQD3E23         1746.9279724                    1       5.006224940175                    0           20.9498176           24.5734273     -0.7610373018152       1.004685422478                    0
               MQEAE29         1786.1396341                    1       16.51762754995                    0            7.6858431           25.2330437       1.149097676734       3.314876940544                    0
               MQEAE30          1813.166033                    1        2.82663036358                    0            7.6858431           25.5485039     -0.6322289790719      0.5672686215583                    0
              MQTAFOE1         1861.1278611                    1       6.510773255191                    0           13.8843623           26.2818318     -0.5310714950739       1.306629058167                    0
              MQTAFOE2         1905.3942301                    1        2.50280812219                    0           13.8843623           26.7136413     -0.8197390655681      0.5022816325022                    0
               MQEAE32         1980.3824571                    1       2.209043220655                    0            7.6858431           27.7624294     -0.7125828367932      0.4433267677618                    0
               MQD3E29         2065.4852081                    1       4.603073327409                    0           20.9498176           29.0338813     -0.7802809830951      0.9237780415208                    0
               MQEAE35         2104.6968698                    1        4.96004519849                    0            7.6858431           29.6934976     -0.3546517754844      0.9954177379778                    0
               MQR2ORE         2203.8099939                    1        3.42778145741                    0            4.7479218           30.8555494     -0.2780459321361      0.6879119701683                    0
               MQDROE5         2288.3421939                    1         18.226519618                    0           29.3993215           32.0959819     -0.3800360454579        3.65782975826                    0
               MQEAE37         2389.8065079                    1       35.69743679348                    0            7.6858431           33.3509534       3.644570065902       7.164019754373                    0
               MQD3E31          2426.265252                    1       16.54693884705                    0           20.9498176           33.8146013     -0.2101631067636       3.320759343605                    0
               MQEAE39         2465.4769137                    1      0.1968374467338                    0            7.6858431           34.4742177     -0.9743896090289     0.03950276219997                    0
               MQD3E33         2501.9356578                    1       7.000893906488                    0           20.9498176           34.9378656     -0.6658255436798       1.404990014676                    0
               MQEAE41         2541.1473195                    1       9.037208672346                    0            7.6858431           35.5974819       0.175825287449       1.813652387079                    0
              MQTAOTE1         2616.1355465                    1       2.561536752867                    0           13.8843623             36.64627     -0.8155092255935      0.5140677187905                    0
              MQTAOTE2         2660.4019155                    1       2.393690907726                    0           13.8843623           37.0780795      -0.827598066371       0.480383200845                    0
               MQEAE44         2735.3901425                    1       3.828944316261                    0            7.6858431           38.1268676     -0.5018185687058       0.768420233609                    0
               MQEAE45         2784.0341494                    1       2.716719572343                    0            7.6858431           38.9346716     -0.6465293999636      0.5452109291755                    0
