@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetax.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "0.60 s"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ RMS_BETABEAT %s "42.652 %"
@ Date %s "19. July 2019, 23:27:16"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
*                 NAME                    S              BETXMDL              ALFXMDL                 BETX             STATBETX              SYSBETX              ERRBETX                 ALFX             STATALFX              SYSALFX              ERRALFX                 CORR                NCOMB               BBEATX            DELTABETX
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC1LE            0.5300002            2.9087358           -5.2990847       4.075666773349                    0                    0       3.788119521761      -7.438182728452                    0                    0       13.96462783675                    0                   23      0.4011814938124      0.4011814938124
                MQC2LE            2.2500008          142.9688048         -106.7116067        93.5081075462                    0                    0       214.1864306894      -68.55419502993                    0                    0       318.2701675181                    0                   19     -0.3459544711379     -0.3459544711379
               MQLC3LE           12.9355133           26.9933253            1.1608736       22.26668711712                    0                    0       43.27172062008          1.198580168                    0                    0       4.751542986429                    0                   26     -0.1751039610848     -0.1751039610848
               MQLC7LE           27.2720861            9.3764221           -1.0647787        9.17794345125                    0                    0       14.75128738646      -1.613486771575                    0                    0       4.370615820349                    0                   32    -0.02116784490213    -0.02116784490213
               MQLB1LE           55.2235731           12.5617527           -1.9840866       9.720247357024                    0                    0        15.7179745312       -1.66365754043                    0                    0        5.50937224191                    0                   34     -0.2262029360741     -0.2262029360741
               MQLB4LE           77.1787307           35.3516866            4.2598365        28.5522625137                    0                    0       32.36839707869       3.754564507041                    0                    0        7.79757852033                    0                   27     -0.1923366249321     -0.1923366249321
               MQLA2LE           98.9121927           36.8830728           -6.1504106       31.09851750134                    0                    0       32.61916408879      -4.783663297865                    0                    0       10.61847429152                    0                   34     -0.1568349613936     -0.1568349613936
               MQLA5LE          119.0986538           10.0415612           -3.1555304       10.36803297278                    0                    0       9.448682026715      -2.877333241824                    0                    0       5.670181651018                    0                   35      0.0325120532832      0.0325120532832
                MQD3E1          164.5639584            7.4403317            0.2028379       8.865576032971                    0                    0       7.176324180874     -0.6184017805335                    0                    0      0.9997373881879                    0                   44      0.1915565582877      0.1915565582877
                MQEAE4          230.8020191           48.5050151           -5.6463304        66.3649979117                    0                    0       43.92979283541      -8.237997921566                    0                    0       10.27721897474                    0                   45      0.3682089939541      0.3682089939541
                MQD3E4          270.0136808            7.4403317           -0.2028379       12.89536134629                    0                    0       6.229660781826     -0.1305523809431                    0                    0       1.039603819391                    0                   45      0.7331702222746      0.7331702222746
                MQEAE6          306.4724249           48.5050151           -5.6463304        75.1748651096                    0                    0       42.92673525662      -8.423442348212                    0                    0       9.989291865029                    0                   45      0.5498369592221      0.5498369592221
              MQTATNE1          354.4092937           45.9537751            4.4063204       26.04754743495                    0                    0        44.2402592318       2.719049672815                    0                    0       8.467563166122                    0                   37     -0.4331793769224     -0.4331793769224
              MQTATNE2          397.7476034           45.9537751           -4.4063204       27.23127026676                    0                    0       46.68595545704      -2.298193599118                    0                    0       9.005505855425                    0                   35     -0.4074203869539     -0.4074203869539
                MQEAE8          472.7108711           48.5050151           -5.6463304       60.17708947521                    0                    0       37.13621608761      -7.412735170513                    0                    0        8.75487413991                    0                   33      0.2406364445232      0.2406364445232
                MQD3E8          511.9225329            7.4403317           -0.2028379       13.34569077808                    0                    0       8.166953027334     -0.1418672593428                    0                    0      0.9560048631279                    0                   40      0.7936956732832      0.7936956732832
               MQEAE10          548.3812769           48.5050151           -5.6463304       72.77254403554                    0                    0       48.65963623123       -8.15447427799                    0                    0       11.02035767196                    0                   32      0.5003096872666      0.5003096872666
               MQEAE11          597.0252838           48.5050151            5.6463304       32.53715128882                    0                    0       48.29571787187       4.202639593627                    0                    0       11.22314320274                    0                   27     -0.3292002647202     -0.3292002647202
               MQR2NE1          696.7698054           28.8232835            1.9137339       28.25008995551                    0                    0       26.81957171461       1.838557454071                    0                    0       3.474886000652                    0                   39    -0.01988647630976    -0.01988647630976
               MQFRNE3          753.3246054           28.8233021            1.9137359       40.56183555959                    0                    0       23.74730963986       2.208248831488                    0                    0       3.187475962273                    0                   34      0.4072584542486      0.4072584542486
               MQDRNE5          781.6020054            8.5241331            -0.615502       6.708399749524                    0                    0        7.11051709285     -0.3921717056383                    0                    0       1.806755298715                    0                   35      -0.213010910221      -0.213010910221
               MQEAE13           881.197528           48.5050151            5.6463304       56.98423928891                    0                    0       52.72536613619       6.742119617525                    0                    0       12.66553579728                    0                   27      0.1748112885118      0.1748112885118
               MQD3E12          947.4355886            7.4403317           -0.2028379       9.183367507777                    0                    0       6.811973548678    -0.01544680832327                    0                    0       1.160871020094                    0                   44      0.2342685619482      0.2342685619482
               MQEAE16          983.8943327           48.5050151           -5.6463304        55.4559164313                    0                    0       42.08654713498      -6.713322160858                    0                    0       9.659810789742                    0                   36       0.143302735129       0.143302735129
               MQD3E14         1023.1059944            7.4403317           -0.2028379       5.945348134896                    0                    0       7.069001258665    -0.09057062095242                    0                    0       1.429962046015                    0                   43     -0.2009296931082     -0.2009296931082
               MQEAE18         1059.5647385           48.5050151           -5.6463304       40.34014268837                    0                    0       52.06493267195      -4.718617596639                    0                    0       12.63496402968                    0                   43     -0.1683304787101     -0.1683304787101
              MQTANFE1         1107.5016074           45.9537751            4.4063204       53.95753861653                    0                    0       49.73634957366       4.816931900378                    0                    0        9.65592208783                    0                   27      0.1741698804747      0.1741698804747
               MQD3E16         1189.3444407            7.4403317           -0.2028379       8.166294805633                    0                    0       7.064268074982      0.1987854147599                    0                    0       1.154005797641                    0                   35     0.09757133618564     0.09757133618564
               MQEAE20         1225.8031848           48.5050151           -5.6463304       53.74007432255                    0                    0       37.76420403225      -6.123759093434                    0                    0       8.790376971315                    0                   43      0.1079282051919      0.1079282051919
               MQD3E18         1265.0148465            7.4403317           -0.2028379       7.710183026974                    0                    0        7.46199193915      0.1347251785473                    0                    0       1.238915063933                    0                   44      0.0362687226665      0.0362687226665
               MQEAE22         1301.4735906           48.5050151           -5.6463304       41.19348208482                    0                    0        45.5918420014      -4.865424816821                    0                    0       10.65177994111                    0                   44     -0.1507376711481     -0.1507376711481
               MQEAE23         1350.1175975           48.5050151            5.6463304       44.95113522655                    0                    0       46.83723536619       5.393400583604                    0                    0       11.33931096681                    0                   26    -0.07326829743523    -0.07326829743523
                 MQI6E         1404.3012987           12.5196316           -1.2996081       15.22398771779                    0                    0       11.65501090696      -1.704963763906                    0                    0       2.413079595384                    0                   26      0.2160092408625      0.2160092408625
                 MQI5E         1418.7440064           36.6707357           -4.5163713       49.25290542967                    0                    0       28.77946833496      -5.863311222896                    0                    0       6.914717967204                    0                   42      0.3431120071495      0.3431120071495
                 MQI4E         1424.1361014          102.3414091           -7.6626934       125.6338833793                    0                    0       75.49063354121      -9.269181894881                    0                    0       11.09364005129                    0                   40      0.2275957941576      0.2275957941576
                MQX2RE         1494.6206604            79.143814            6.9773227       76.96988021227                    0                    0       77.18547403987       6.876230387494                    0                    0       13.25859487207                    0                   24    -0.02746814536551    -0.02746814536551
                 MQM2E         1564.3492168           29.3408767           -0.5146595       41.43845159634                    0                    0       27.92182411362       -1.19321041178                    0                    0       1.490754508476                    0                   42      0.4123112959449      0.4123112959449
                 MQM7E         1608.8759522            5.5669757            0.5811089       6.754351162584                    0                    0       5.834928628866      0.4966770136304                    0                    0       1.491136567078                    0                   27      0.2132891405623      0.2132891405623
               MQEAE25         1634.7988225           48.5050151            5.6463304        77.7148995793                    0                    0       51.65340952323       8.164969017417                    0                    0       11.50831655839                    0                   26      0.6022033890532      0.6022033890532
               MQD3E21         1671.2575666            7.4403317            0.2028379       6.807168366944                    0                    0       7.811761264459      0.1775065555601                    0                    0       1.111205710518                    0                   25    -0.08509880454062    -0.08509880454062
               MQEAE27         1710.4692283           48.5050151            5.6463304       68.40270905942                    0                    0       36.38149964127       7.960346416934                    0                    0       8.361659575156                    0                   39      0.4102193127535      0.4102193127535
