@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetay.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "0.49 s"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ RMS_BETABEAT %s "285.731 %"
@ Date %s "19. July 2019, 23:27:16"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
*                 NAME                    S              BETYMDL              ALFYMDL                 BETY             STATBETY              SYSBETY              ERRBETY                 ALFY             STATALFY              SYSALFY              ERRALFY                 CORR                NCOMB               BBEATY            DELTABETY
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC2LE            2.2500008          291.1407337             168.5324       3839.415190291                    0                    0       9744.298740122       2225.739970639                    0                    0        11303.0741252                    0                    1       12.18748888724       12.18748888724
               MQLC3LE           12.9355133            7.6774363            3.9602896       -1.25035809919                    0                    0       8.796627994008      -0.302860758111                    0                    0       10.41894072929                    0                   17      -1.162861409764      -1.162861409764
               MQLC7LE           27.2720861          227.9670433            2.7768696       2262.666270122                    0                    0       731.0835780376       34.11031812601                    0                    0       20.54098053953                    0                    5       8.925409556434       8.925409556434
               MQLB1LE           55.2235731          227.9626232           -2.7726728       139.9147425606                    0                    0       2022.203848793      -1.010723928634                    0                    0       36.13654008433                    0                    4      -0.386238232406      -0.386238232406
               MQLB4LE           77.1787307           18.1118897           -5.8434664     0.01048579370503                    0                    0       24.85396572848    0.001725102232227                    0                    0        17.0493215677                    0                   11      -0.999421054684      -0.999421054684
               MQLA2LE           98.9121927           17.1404258            6.7980612         4.4201698399                    0                    0       25.51631299335       1.783426864382                    0                    0       19.01767071053                    0                    8     -0.7421201846747     -0.7421201846747
               MQLA5LE          119.0986538          234.1217208           14.3138633      -59.05929310866                    0                    0       289.6816893725      -8.304783338386                    0                    0        34.2228878718                    0                   12      -1.252258922867      -1.252258922867
                MQD3E1          164.5639584           20.9498176            1.7084092       41.91567183492                    0                    0       20.49665771483       3.369614595787                    0                    0       3.145368008899                    0                   19       1.000765478498       1.000765478498
                MQEAE4          230.8020191            7.6858431            1.2526734       17.89585403586                    0                    0       7.726315747595       1.668997316081                    0                    0       2.399475573387                    0                   15       1.328417820012       1.328417820012
                MQD3E4          270.0136808           20.9498176           -1.7084092       31.69743615977                    0                    0       15.95525542651      -1.676810535195                    0                    0       2.998941387113                    0                   26      0.5130172856384      0.5130172856384
