@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:27:16"
@ Model_directory %s "model/"
@ FILENAME %s "getcouple.out"
@ CG %le nan
@ CG_std %le nan
@ QG %le nan
@ Q1F %le 0.544071273688
@ Q2F %le 0.5930976731067423
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
             "MQLC7LE"           27.2720861                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.7567092963118     0.02036244631038      0.7641768937218    0.009235545464326                  nan                  nan                  nan                  nan
             "MQLB1LE"           55.2235731                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6408502006856      0.2006914985263       0.865054282497      0.1861760741703                  nan                  nan                  nan                  nan
              "MQD3E4"          270.0136808                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.962506658016      0.2158128339921      0.5796065258238      0.1228967613371                  nan                  nan                  nan                  nan
            "MQTATNE1"          354.4092937                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.2554529758148      0.2229324253154       0.391984848768     0.03304473220827                  nan                  nan                  nan                  nan
             "MQFRNE3"          753.3246054                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.4639759583915      0.1456323240799      0.1567150236688     0.04189792723575                  nan                  nan                  nan                  nan
             "MQD3E16"         1189.3444407                    1                  nan                    0                  nan                  nan                  nan                    0                  nan                  nan      0.3279016316465       0.208364806578      0.6798862290224      0.1887837871864                  nan                  nan                  nan                  nan
             "MQEAE22"         1301.4735906                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.757933259449      0.1941172592176      0.8327717057731      0.0321217542364                  nan                  nan                  nan                  nan
               "MQM7E"         1608.8759522                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6395724807281      0.2097146466408      0.6303769776515      0.1878087165755                  nan                  nan                  nan                  nan
             "MQEAE25"         1634.7988225                    1                  nan                    0                  nan                  nan                  nan                    0                  nan                  nan      0.1885199099225     0.06947025469914      0.8122789005856     0.06823485112932                  nan                  nan                  nan                  nan
            "MQTAFOE2"         1905.3942301                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.7220849391827      0.1447137284631      0.8763991078022     0.01067517918102                  nan                  nan                  nan                  nan
             "MQLB1RE"         2960.9918734                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.375301041719      0.1786690191167      0.2145435362938     0.02404882039752                  nan                  nan                  nan                  nan
