@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:50:30"
@ Model_directory %s "model/"
@ Q1 %le 0.544071273688
@ Q2 %le 0.5930976731067423
@ FILENAME %s "getphasetotx.out"
*                    S               MUXMDL                 NAME                NAME2                   S2               PHASEX               STDPHX               PHXMDL          DELTAPHASEX
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2203223               MQC1LE               MQC1LE            0.5300002                    0                  nan                    0                    0
             2.2500008            0.2410243               MQC2LE               MQC1LE            0.5300002      0.0191533523055                  nan             0.020702     -0.0015486476945
            12.9355133            0.2616968              MQLC3LE               MQC1LE            0.5300002      0.0401650100552                  nan            0.0413745     -0.0012094899448
            27.2720861            0.4721468              MQLC7LE               MQC1LE            0.5300002      0.8166751288223                  nan            0.2518245     -0.4351493711777
            55.2235731            0.9879476              MQLB1LE               MQC1LE            0.5300002      0.7899369661208                  nan            0.7676253      0.0223116661208
            77.1787307            1.3202075              MQLB4LE               MQC1LE            0.5300002      0.1101405771286                  nan            0.0998852      0.0102553771286
            98.9121927            1.8242478              MQLA2LE               MQC1LE            0.5300002      0.6133786405382                  nan            0.6039255      0.0094531405382
           119.0986538            2.3120774              MQLA5LE               MQC1LE            0.5300002      0.1023297224823                  nan            0.0917551      0.0105746224823
           164.5639584            3.0072166               MQD3E1               MQC1LE            0.5300002      0.9018298674429                  nan            0.7868943      0.1149355674429
           230.8020191            4.0807687               MQEAE4               MQC1LE            0.5300002      0.4365575072293                  nan            0.8604464     -0.4238888927707
           270.0136808            4.6861856               MQD3E4               MQC1LE            0.5300002      0.4912113506482                  nan            0.4658633     0.02534805064823
           306.4724249            5.2289045               MQEAE6               MQC1LE            0.5300002      0.0271152636736                  nan    0.008582199999999      0.0185330636736
           354.4092937            5.9292318             MQTATNE1               MQC1LE            0.5300002      0.7088922590061                  nan            0.7089095  -1.724099389999e-05
           397.7476034            6.4015278             MQTATNE2               MQC1LE            0.5300002      0.1785661986456                  nan            0.1812055     -0.0026393013544
           472.7108711            7.5699902               MQEAE8               MQC1LE            0.5300002      0.9115932445851                  nan            0.3496679     -0.4380746554149
           511.9225329            8.1754072               MQD3E8               MQC1LE            0.5300002      0.9760344596411                  nan            0.9550849      0.0209495596411
           548.3812769             8.718126              MQEAE10               MQC1LE            0.5300002      0.5159242575181                  nan            0.4978037      0.0181205575181
           597.0252838            9.3981267              MQEAE11               MQC1LE            0.5300002      0.7277865149244                  nan            0.1778044     -0.4500178850756
           696.7698054           10.9206195              MQR2NE1               MQC1LE            0.5300002      0.2557061177299                  nan            0.7002972     -0.4445910822701
           753.3246054           11.5379038              MQFRNE3               MQC1LE            0.5300002      0.4172370538681                  nan            0.3175815     0.09965555386808
           781.6020054            11.856421              MQDRNE5               MQC1LE            0.5300002      0.1819635550555                  nan            0.6360987     -0.4541351449445
