@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:50:30"
@ Model_directory %s "model/"
@ Q1 %le 0.544071273688
@ Q2 %le 0.5930976731067423
@ FILENAME %s "getphasetoty.out"
*                    S               MUYMDL                 NAME                NAME2                   S2               PHASEY               STDPHY               PHYMDL          DELTAPHASEY
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2490992               MQC1LE               MQC1LE            0.5300002                    0                  nan                    0                    0
             2.2500008            0.2499778               MQC2LE               MQC1LE            0.5300002       0.019014701754                  nan            0.0008786       0.018136101754
            12.9355133            0.2953789              MQLC3LE               MQC1LE            0.5300002      0.8269493198912                  nan            0.0462797     -0.2193303801088
            27.2720861            0.7492946              MQLC7LE               MQC1LE            0.5300002      0.6743363728341                  nan            0.5001954      0.1741409728341
            55.2235731            1.2500394              MQLB1LE               MQC1LE            0.5300002      0.4569428482434                  nan   0.0009401999999998      0.4560026482434
            77.1787307            1.9465966              MQLB4LE               MQC1LE            0.5300002      0.6190357798726                  nan            0.6974974     -0.0784616201274
            98.9121927            2.4533248              MQLA2LE               MQC1LE            0.5300002      0.6656367237282                  nan            0.2042256      0.4614111237282
           119.0986538              2.94926              MQLA5LE               MQC1LE            0.5300002      0.6451050071547                  nan            0.7001608     -0.0550557928453
           164.5639584            3.4064553               MQD3E1               MQC1LE            0.5300002      0.2226543121883                  nan            0.1573561     0.06529821218832
           230.8020191            4.3815318               MQEAE4               MQC1LE            0.5300002      0.2186255977895                  nan            0.1324326     0.08619299778946
           270.0136808            5.0411482               MQD3E4               MQC1LE            0.5300002      0.7728375432848                  nan             0.792049     -0.0192114567152
           306.4724249            5.5047961               MQEAE6               MQC1LE            0.5300002      0.2678088962535                  nan            0.2556969     0.01211199625354
           354.4092937            6.2268103             MQTATNE1               MQC1LE            0.5300002      0.0632019743262                  nan            0.9777111      0.0854908743262
           397.7476034            6.6685508             MQTATNE2               MQC1LE            0.5300002      0.3372184879538                  nan            0.4194516     -0.0822331120462
           472.7108711            7.7060253               MQEAE8               MQC1LE            0.5300002       0.582578475153                  nan            0.4569261       0.125652375153
           511.9225329            8.3656416               MQD3E8               MQC1LE            0.5300002      0.1897070282357                  nan            0.1165424     0.07316462823569
           548.3812769            8.8292895              MQEAE10               MQC1LE            0.5300002      0.4959250075368                  nan            0.5801903     -0.0842652924632
           597.0252838            9.6370935              MQEAE11               MQC1LE            0.5300002      0.5967255562209                  nan            0.3879943      0.2087312562209
