@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:50:30"
@ Model_directory %s "model/"
@ Q1 %le 0.544071273688
@ Q2 %le 0.5930976731067423
@ FILENAME %s "getphasex.out"
*                    S               MUXMDL                 NAME                NAME2                   S2               PHASEX               STDPHX               PHXMDL          DELTAPHASEX
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2203223               MQC1LE               MQC2LE            2.2500008      0.0191533523055                  nan             0.020702     -0.0015486476945
             2.2500008            0.2410243               MQC2LE              MQLC3LE           12.9355133      0.0210116577497                  nan            0.0206725      0.0003391577497
            12.9355133            0.2616968              MQLC3LE              MQLC7LE           27.2720861      0.7765101187671                  nan              0.21045     -0.4339398812329
            27.2720861            0.4721468              MQLC7LE              MQLB1LE           55.2235731      0.9732618372985                  nan            0.5158008      0.4574610372985
            55.2235731            0.9879476              MQLB1LE              MQLB4LE           77.1787307      0.3202036110078                  nan            0.3322599     -0.0120562889922
            77.1787307            1.3202075              MQLB4LE              MQLA2LE           98.9121927      0.5032380634096                  nan            0.5040403  -0.0008022365904001
            98.9121927            1.8242478              MQLA2LE              MQLA5LE          119.0986538      0.4889510819441                  nan            0.4878296      0.0011214819441
           119.0986538            2.3120774              MQLA5LE               MQD3E1          164.5639584      0.7995001449606                  nan            0.6951392      0.1043609449606
           164.5639584            3.0072166               MQD3E1               MQEAE4          230.8020191      0.5347276397864                  nan            0.0735521      0.4611755397864
           230.8020191            4.0807687               MQEAE4               MQD3E4          270.0136808     0.05465384341893                  nan            0.6054169      0.4492369434189
           270.0136808            4.6861856               MQD3E4               MQEAE6          306.4724249      0.5359039130254                  nan            0.5427189    -0.00681498697463
           306.4724249            5.2289045               MQEAE6             MQTATNE1          354.4092937      0.6817769953325                  nan            0.7003273     -0.0185503046675
           354.4092937            5.9292318             MQTATNE1             MQTATNE2          397.7476034      0.4696739396395                  nan             0.472296     -0.0026220603605
           397.7476034            6.4015278             MQTATNE2               MQEAE8          472.7108711      0.7330270459395                  nan            0.1684624     -0.4354353540605
           472.7108711            7.5699902               MQEAE8               MQD3E8          511.9225329       0.064441215056                  nan             0.605417       0.459024215056
           511.9225329            8.1754072               MQD3E8              MQEAE10          548.3812769       0.539889797877                  nan            0.5427188      -0.002829002123
           548.3812769             8.718126              MQEAE10              MQEAE11          597.0252838      0.2118622574063                  nan            0.6800007     -0.4681384425937
           597.0252838            9.3981267              MQEAE11              MQR2NE1          696.7698054      0.5279196028055                  nan            0.5224928      0.0054268028055
           696.7698054           10.9206195              MQR2NE1              MQFRNE3          753.3246054      0.1615309361382                  nan            0.6172843     -0.4557533638618
           753.3246054           11.5379038              MQFRNE3              MQDRNE5          781.6020054      0.7647265011874                  nan            0.3185172      0.4462093011874
           781.6020054            11.856421              MQDRNE5              MQEAE13           881.197528       0.354039828433                  nan            0.3456713    0.008368528432999
            881.197528           13.2020923              MQEAE13              MQD3E12          947.4355886       0.072101240322                  nan            0.0735521   -0.001450859677999
           947.4355886           14.2756444              MQD3E12              MQEAE16          983.8943327      0.0867639031535                  nan            0.5427189     -0.4559549968465
           983.8943327           14.8183633              MQEAE16              MQD3E14         1023.1059944      0.0675324824012                  nan            0.6054169      0.4621155824012
          1023.1059944           15.4237802              MQD3E14              MQEAE18         1059.5647385      0.5435624639626                  nan            0.5427189   0.0008435639625994
          1059.5647385           15.9664991              MQEAE18             MQTANFE1         1107.5016074      0.2292705594511                  nan            0.7003272     -0.4710566405489
          1107.5016074           16.6668263             MQTANFE1              MQD3E16         1189.3444407      0.0030407015183                  nan            0.0980397     -0.0949989984817
          1189.3444407            17.764866              MQD3E16              MQEAE20         1225.8031848      0.0831224672246                  nan            0.5427188     -0.4595963327754
          1225.8031848           18.3075848              MQEAE20              MQD3E18         1265.0148465      0.0692592791147                  nan             0.605417      0.4638422791147
          1265.0148465           18.9130018              MQD3E18              MQEAE22         1301.4735906      0.0910300386732                  nan            0.5427188     -0.4516887613268
          1301.4735906           19.4557206              MQEAE22              MQEAE23         1350.1175975      0.1374557393358                  nan            0.6800006      0.4574551393358
          1350.1175975           20.1357212              MQEAE23                MQI6E         1404.3012987       0.550669248811                  nan            0.0077888      -0.457119551189
          1404.3012987             21.14351                MQI6E                MQI5E         1418.7440064      0.1078387490684                  nan            0.1179528    -0.01011405093161
          1418.7440064           21.2614628                MQI5E                MQI4E         1424.1361014      0.0121575224655                  nan            0.0140267   -0.001869177534499
          1424.1361014           21.2754895                MQI4E               MQX2RE         1494.6206604       0.379151651037                  nan            0.3617457       0.017405951037
          1494.6206604           22.6372352               MQX2RE                MQM2E         1564.3492168      0.5956225777562                  nan            0.0578742     -0.4622516222438
          1564.3492168           23.6951094                MQM2E                MQM7E         1608.8759522      0.2094418664089                  nan             0.734562      0.4748798664089
          1608.8759522           24.4296714                MQM7E              MQEAE25         1634.7988225      0.0220077816538                  nan            0.4790364     -0.4570286183462
          1634.7988225           24.9087078              MQEAE25              MQD3E21         1671.2575666       0.457566039012                  nan            0.5427189      -0.085152860988
          1671.2575666           25.4514267              MQD3E21              MQEAE27         1710.4692283      0.6023152976656                  nan            0.6054169   -0.003101602334402
          1710.4692283           26.0568436              MQEAE27              MQD3E23         1746.9279724       0.539113458644                  nan            0.5427189   -0.003605441355991
          1746.9279724           26.5995625              MQD3E23              MQEAE29         1786.1396341      0.5927442441173                  nan            0.6054169    -0.01267265588271
          1786.1396341           27.2049794              MQEAE29              MQEAE30          1813.166033      0.9266676078781                  nan            0.4681352      0.4585324078781
           1813.166033           27.6731146              MQEAE30             MQTAFOE1         1861.1278611      0.6733662005405                  nan            0.6906639     -0.0172976994595
          1861.1278611           28.3637785             MQTAFOE1             MQTAFOE2         1905.3942301      0.0212607372621                  nan            0.4749156     -0.4536548627379
          1905.3942301           28.8386941             MQTAFOE2              MQEAE32         1980.3824571      0.1599661587371                  nan            0.1587991      0.0011670587371
          1980.3824571           29.9974932              MQEAE32              MQD3E29         2065.4852081      0.2358499760843                  nan            0.2227195      0.0131304760843
          2065.4852081           31.2202127              MQD3E29              MQEAE35         2104.6968698       0.138693434404                  nan            0.6054169      -0.466723465596
          2104.6968698           31.8256296              MQEAE35              MQR2ORE         2203.8099939      0.7917901403465                  nan            0.3400272      0.4517629403465
          2203.8099939           33.1656568              MQR2ORE              MQDROE5         2288.3421939       0.077949359716                  nan            0.0722261    0.005723259715998
          2288.3421939           34.2378829              MQDROE5              MQEAE37         2389.8065079       0.053113300698                  nan            0.5955212       0.457592100698
          2389.8065079           35.8334041              MQEAE37              MQD3E31          2426.265252      0.5524517372892                  nan            0.5427188    0.009732937289204
           2426.265252           36.3761229              MQD3E31              MQEAE39         2465.4769137      0.5806919197767                  nan            0.6054169     -0.0247249802233
          2465.4769137           36.9815398              MQEAE39              MQD3E33         2501.9356578      0.0857242497264                  nan            0.5427189     -0.4569946502736
          2501.9356578           37.5242587              MQD3E33              MQEAE41         2541.1473195      0.6034015197526                  nan            0.6054169   -0.002015380247402
          2541.1473195           38.1296756              MQEAE41             MQTAOTE1         2616.1355465      0.1630768273093                  nan            0.1587991    0.004277727309297
          2616.1355465           39.2884747             MQTAOTE1             MQTAOTE2         2660.4019155      0.4757304662762                  nan            0.4749156   0.0008148662761743
          2660.4019155           39.7633903             MQTAOTE2              MQEAE44         2735.3901425      0.1521555433291                  nan            0.1587991   -0.006643556670873
          2735.3901425           40.9221894              MQEAE44              MQEAE45         2784.0341494      0.6760994163065                  nan            0.6800006    -0.00390118369348
          2784.0341494             41.60219              MQEAE45              MQD3E40           2850.27221      0.5438910858288                  nan            0.0735521      0.4703389858288
            2850.27221           42.6757421              MQD3E40              MQLA2RE         2920.9780873      0.1349427510062                  nan            0.1278497    0.007093051006201
          2920.9780873           43.8035918              MQLA2RE              MQLB8RE         2942.8131119      0.5012580927869                  nan            0.5017116  -0.0004535072131002
          2942.8131119           44.3053034              MQLB8RE              MQLB1RE         2960.9918734      0.1809954292783                  nan             0.234258     -0.0532625707217
          2960.9918734           44.5395614              MQLB1RE              MQLC7RE         2989.1433603      0.0779659112526                  nan             0.528155     -0.4501890887474
          2989.1433603           45.0677164              MQLC7RE              MQLC3RE         3003.3799331      0.7248493634763                  nan            0.2217067     -0.4968573365237
          3003.3799331           45.2894231              MQLC3RE               MQC2RE         3013.8146988       0.472545210837                  nan            0.0153077       0.457237510837
