@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:50:30"
@ Model_directory %s "model/"
@ Q1 %le 0.544071273688
@ Q2 %le 0.5930976731067423
@ FILENAME %s "getphasey.out"
*                    S               MUYMDL                 NAME                NAME2                   S2               PHASEY               STDPHY               PHYMDL          DELTAPHASEY
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2490992               MQC1LE               MQC2LE            2.2500008       0.019014701754                  nan            0.0008786       0.018136101754
             2.2500008            0.2499778               MQC2LE              MQLC3LE           12.9355133      0.8079346181372                  nan            0.0454011     -0.2374664818628
            12.9355133            0.2953789              MQLC3LE              MQLC7LE           27.2720861      0.8473870529429                  nan            0.4539157      0.3934713529429
            27.2720861            0.7492946              MQLC7LE              MQLB1LE           55.2235731      0.7826064754093                  nan            0.5007448      0.2818616754093
            55.2235731            1.2500394              MQLB1LE              MQLB4LE           77.1787307      0.1620929316292                  nan            0.6965572      0.4655357316292
            77.1787307            1.9465966              MQLB4LE              MQLA2LE           98.9121927      0.0466009438556                  nan            0.5067282     -0.4601272561444
            98.9121927            2.4533248              MQLA2LE              MQLA5LE          119.0986538      0.9794682834265                  nan            0.4959352      0.4835330834265
           119.0986538              2.94926              MQLA5LE               MQD3E1          164.5639584      0.5775493050336                  nan            0.4571953      0.1203540050336
           164.5639584            3.4064553               MQD3E1               MQEAE4          230.8020191      0.9959712856011                  nan            0.9750765     0.02089478560114
           230.8020191            4.3815318               MQEAE4               MQD3E4          270.0136808      0.5542119454953                  nan            0.6596164     -0.1054044545047
           270.0136808            5.0411482               MQD3E4               MQEAE6          306.4724249      0.4949713529687                  nan            0.4636479     0.03132345296874
           306.4724249            5.5047961               MQEAE6             MQTATNE1          354.4092937      0.7953930780727                  nan            0.7220142     0.07337887807266
           354.4092937            6.2268103             MQTATNE1             MQTATNE2          397.7476034      0.2740165136276                  nan            0.4417405     -0.1677239863724
           397.7476034            6.6685508             MQTATNE2               MQEAE8          472.7108711      0.2453599871992                  nan            0.0374745      0.2078854871992
           472.7108711            7.7060253               MQEAE8               MQD3E8          511.9225329      0.6071285530827                  nan            0.6596163    -0.05248774691731
           511.9225329            8.3656416               MQD3E8              MQEAE10          548.3812769      0.3062179793011                  nan            0.4636479     -0.1574299206989
           548.3812769            8.8292895              MQEAE10              MQEAE11          597.0252838      0.1008005486841                  nan             0.807804      0.2929965486841
           597.0252838            9.6370935              MQEAE11              MQR2NE1          696.7698054      0.0480443906943                  nan            0.2218165     -0.1737721093057
           696.7698054             10.85891              MQR2NE1              MQFRNE3          753.3246054      0.6597924989001                  nan            0.5748741      0.0849183989001
           753.3246054           11.4337841              MQFRNE3              MQDRNE5          781.6020054      0.5362498244665                  nan            0.2784611      0.2577887244665
           781.6020054           11.7122452              MQDRNE5              MQEAE13           881.197528      0.0499936353851                  nan            0.1776926     -0.1276989646149
            881.197528           12.8899378              MQEAE13              MQD3E12          947.4355886      0.7092821667762                  nan            0.9750765     -0.2657943332238
           947.4355886           13.8650143              MQD3E12              MQEAE16          983.8943327        0.69881606632                  nan            0.4636479        0.23516816632
           983.8943327           14.3286622              MQEAE16              MQD3E14         1023.1059944        0.68560060417                  nan            0.6596164        0.02598420417
          1023.1059944           14.9882786              MQD3E14              MQEAE18         1059.5647385      0.4918252309394                  nan            0.4636479      0.0281773309394
          1059.5647385           15.4519265              MQEAE18             MQTANFE1         1107.5016074      0.4942222011639                  nan            0.7220142     -0.2277919988361
          1107.5016074           16.1739407             MQTANFE1              MQD3E16         1189.3444407      0.9754937049042                  nan            0.0155671     -0.0400733950958
          1189.3444407           17.1895078              MQD3E16              MQEAE20         1225.8031848      0.7016259883887                  nan            0.4636479      0.2379780883887
          1225.8031848           17.6531557              MQEAE20              MQD3E18         1265.0148465      0.3953056829342                  nan            0.6596163     -0.2643106170658
          1265.0148465            18.312772              MQD3E18              MQEAE22         1301.4735906      0.5336759888515                  nan            0.4636479      0.0700280888515
          1301.4735906           18.7764199              MQEAE22              MQEAE23         1350.1175975      0.8742796455544                  nan             0.807804      0.0664756455544
          1350.1175975           19.5842239              MQEAE23                MQI6E         1404.3012987      0.7396299006233                  nan             0.617605      0.1220249006233
          1404.3012987           20.2018289                MQI6E                MQI5E         1418.7440064      0.2466591852866                  nan            0.0528115      0.1938476852866
          1418.7440064           20.2546404                MQI5E                MQI4E         1424.1361014      0.9582231309065                  nan            0.0187699     -0.0605467690935
          1424.1361014           20.2734103                MQI4E               MQX2RE         1494.6206604      0.1227479067219                  nan            0.9607692      0.1619787067219
          1494.6206604           21.2341795               MQX2RE                MQM2E         1564.3492168      0.4099762563777                  nan            0.7945117     -0.3845354436223
          1564.3492168           22.0286912                MQM2E                MQM7E         1608.8759522      0.7627675609338                  nan            0.6337436      0.1290239609338
          1608.8759522           22.6624348                MQM7E              MQEAE25         1634.7988225      0.4829863563402                  nan            0.3240804      0.1589059563402
          1634.7988225           22.9865152              MQEAE25              MQD3E21         1671.2575666       0.230112172073                  nan            0.4636479      -0.233535727927
          1671.2575666           23.4501631              MQD3E21              MQEAE27         1710.4692283      0.0388947333013                  nan            0.6596163      0.3792784333013
          1710.4692283           24.1097794              MQEAE27              MQD3E23         1746.9279724      0.3359741820726                  nan            0.4636479     -0.1276737179274
          1746.9279724           24.5734273              MQD3E23              MQEAE29         1786.1396341      0.3738173875151                  nan            0.6596164     -0.2857990124849
          1786.1396341           25.2330437              MQEAE29              MQEAE30          1813.166033      0.2252994139449                  nan            0.3154602    -0.09016078605509
           1813.166033           25.5485039              MQEAE30             MQTAFOE1         1861.1278611      0.7608115940468                  nan            0.7333279     0.02748369404676
          1861.1278611           26.2818318             MQTAFOE1             MQTAFOE2         1905.3942301        0.42429717666                  nan            0.4318095    -0.00751232333996
          1905.3942301           26.7136413             MQTAFOE2              MQEAE32         1980.3824571      0.9975850420126                  nan            0.0487881     -0.0512030579874
          1980.3824571           27.7624294              MQEAE32              MQD3E29         2065.4852081      0.3178873245981                  nan            0.2714519      0.0464354245981
          2065.4852081           29.0338813              MQD3E29              MQEAE35         2104.6968698      0.0172411928102                  nan            0.6596163      0.3576248928102
          2104.6968698           29.6934976              MQEAE35              MQR2ORE         2203.8099939      0.4418421312786                  nan            0.1620518      0.2797903312786
          2203.8099939           30.8555494              MQR2ORE              MQDROE5         2288.3421939      0.8089472715591                  nan            0.2404325     -0.4314852284409
          2288.3421939           32.0959819              MQDROE5              MQEAE37         2389.8065079      0.1625604517176                  nan            0.2549715    -0.09241104828242
          2389.8065079           33.3509534              MQEAE37              MQD3E31          2426.265252      0.5326885065691                  nan            0.4636479      0.0690406065691
           2426.265252           33.8146013              MQD3E31              MQEAE39         2465.4769137      0.4988165776661                  nan            0.6596164     -0.1607998223339
          2465.4769137           34.4742177              MQEAE39              MQD3E33         2501.9356578      0.1912128486977                  nan            0.4636479     -0.2724350513023
          2501.9356578           34.9378656              MQD3E33              MQEAE41         2541.1473195       0.258640017345                  nan            0.6596163      -0.400976282655
          2541.1473195           35.5974819              MQEAE41             MQTAOTE1         2616.1355465      0.6634135635375                  nan            0.0487881     -0.3853745364625
