@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:50:33"
@ Model_directory %s "model/"
@ Q1 %le 0.5439538507440754
@ Q2 %le 0.5978671395483831
@ RMSbetabeat %le 0.31606291184638086
@ RescalingFactor %le 1.2708813502379415
@ FILENAME %s "getampbetax.out"
*                 NAME                    S                COUNT                 BETX              BETXSTD              BETXMDL               MUXMDL            DELTABETX              BETXRES           BETXSTDRES
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1        1.11335010726                    0            2.9087358            0.2203223     -0.6172391774943       1.414935887602                    0
                MQC2LE            2.2500008                    1       233.2672713403                    0          142.9688048            0.2410243      0.6315955894475       296.4550247672                    0
               MQLC3LE           12.9355133                    1       44.91117312387                    0           26.9933253            0.2616968      0.6637880892679       57.07677234044                    0
               MQLC7LE           27.2720861                    1       9.753247922968                    0            9.3764221            0.4721468     0.04018865820557       12.39522088955                    0
               MQLB1LE           55.2235731                    1       12.14235879518                    0           12.5617527            0.9879476     -0.0333865754912       15.43149734069                    0
               MQLB4LE           77.1787307                    1       43.59605637091                    0           35.3516866            1.3202075      0.2332100831339       55.40541498571                    0
               MQLA2LE           98.9121927                    1       52.11134924223                    0           36.8830728            1.8242478      0.4128798195532       66.22734188769                    0
               MQLA5LE          119.0986538                    1       12.10480205879                    0           10.0415612            2.3120774       0.205470127373       15.38376718483                    0
                MQD3E1          164.5639584                    1       6.931109181636                    0            7.4403317            3.0072166    -0.06844083555635       8.808617395404                    0
                MQEAE4          230.8020191                    1       37.75237266345                    0           48.5050151            4.0807687     -0.2216810450298       47.97878634521                    0
                MQD3E4          270.0136808                    1       7.098907199228                    0            7.4403317            4.6861856    -0.04588834403331       9.021868766569                    0
                MQEAE6          306.4724249                    1       57.57765663322                    0           48.5050151            5.2289045      0.1870454326118       73.17437000556                    0
              MQTATNE1          354.4092937                    1       35.61306937131                    0           45.9537751            5.9292318     -0.2250240748705       45.25998568873                    0
              MQTATNE2          397.7476034                    1       37.07255198401                    0           45.9537751            6.4015278     -0.1932642769101        47.1148149222                    0
                MQEAE8          472.7108711                    1       35.99695311634                    0           48.5050151            7.5699902     -0.2578715202515       45.74785638095                    0
                MQD3E8          511.9225329                    1       6.401312751235                    0            7.4403317            8.1754072      -0.139646858589       8.135308992585                    0
               MQEAE10          548.3812769                    1       48.83454293042                    0           48.5050151             8.718126    0.006793685761025       62.06290985767                    0
               MQEAE11          597.0252838                    1       51.31541573534                    0           48.5050151            9.3981267     0.05794041357458       65.21580483774                    0
               MQR2NE1          696.7698054                    1        10.7070380173                    0           28.8232835           10.9206195     -0.6285281648326       13.60737493247                    0
               MQFRNE3          753.3246054                    1       13.37644959713                    0           28.8233021           11.5379038     -0.5359154356873       16.99988032539                    0
               MQDRNE5          781.6020054                    1        3.13312915733                    0            8.5241331            11.856421     -0.6324401413523       3.981835413938                    0
               MQEAE13           881.197528                    1       55.84290050992                    0           48.5050151           13.2020923      0.1512809633147       70.96970080125                    0
               MQD3E12          947.4355886                    1       7.363662475231                    0            7.4403317           14.2756444     -0.0103045439182       9.358341309218                    0
               MQEAE16          983.8943327                    1        41.2630096727                    0           48.5050151           14.8183633     -0.1493042608557       52.44038944773                    0
               MQD3E14         1023.1059944                    1       5.873038405853                    0            7.4403317           15.4237802     -0.2106483094224        7.46393497923                    0
               MQEAE18         1059.5647385                    1       36.89639225248                    0           48.5050151           15.9664991     -0.2393283008692       46.89093680474                    0
              MQTANFE1         1107.5016074                    1       40.47753387466                    0           45.9537751           16.6668263     -0.1191684733935       51.44214290493                    0
               MQD3E16         1189.3444407                    1       7.169692076939                    0            7.4403317            17.764866    -0.03637467171808        9.11182794753                    0
               MQEAE20         1225.8031848                    1       35.93804867728                    0           48.5050151           18.3075848     -0.2590859191943        45.6729958279                    0
               MQD3E18         1265.0148465                    1       5.707595831907                    0            7.4403317           18.9130018     -0.2328842231715       7.253677097467                    0
               MQEAE22         1301.4735906                    1       41.62381491955                    0           48.5050151           19.4557206     -0.1418657465886       52.89893010701                    0
               MQEAE23         1350.1175975                    1       57.56866094986                    0           48.5050151           20.1357212      0.1868599737815       73.16293755934                    0
                 MQI6E         1404.3012987                    1       11.88389881103                    0           12.5196316             21.14351    -0.05077887347501       15.10302536705                    0
                 MQI5E         1418.7440064                    1        79.5188519071                    0           36.6707357           21.2614628       1.168455319731       101.0590258811                    0
                 MQI4E         1424.1361014                    1       128.9173556121                    0          102.3414091           21.2754895      0.2596793101227       163.8386629694                    0
                MQX2RE         1494.6206604                    1       82.60426684375                    0            79.143814           22.6372352     0.04372360477534       104.9802221818                    0
                 MQM2E         1564.3492168                    1       26.95423000266                    0           29.3408767           23.6951094    -0.08134203765428        34.2556282204                    0
                 MQM7E         1608.8759522                    1       5.012509395166                    0            5.5669757           24.4296714    -0.09959919617291       6.370304708209                    0
               MQEAE25         1634.7988225                    1       38.17823475096                    0           48.5050151           24.9087078     -0.2129012912943          48.52000653                    0
               MQD3E21         1671.2575666                    1       8.156529367673                    0            7.4403317           25.4514267     0.09625883583568       10.36598105604                    0
               MQEAE27         1710.4692283                    1       52.48000695938                    0           48.5050151           26.0568436     0.08195012105841       66.69586210504                    0
               MQD3E23         1746.9279724                    1       7.480547953829                    0            7.4403317           26.5995625    0.005405169480357       9.506888884081                    0
               MQEAE29         1786.1396341                    1       43.28829345297                    0           48.5050151           27.2049794     -0.1075501499438         55.014284833                    0
               MQEAE30          1813.166033                    1       68.21044947172                    0           48.5050151           27.6731146      0.4062556074066       86.68738812495                    0
              MQTAFOE1         1861.1278611                    1       49.29197156822                    0           48.1181067           28.3637785     0.02439549160858       62.64424738251                    0
              MQTAFOE2         1905.3942301                    1       46.02065436813                    0           48.1181067           28.8386941     -0.0435896687487       58.48679136221                    0
               MQEAE32         1980.3824571                    1       42.07545161711                    0           48.5050151           29.9974932     -0.1325546125413       53.47290676302                    0
               MQD3E29         2065.4852081                    1       6.377284264817                    0            7.4403317           31.2202127     -0.1428763498787       8.104771637322                    0
               MQEAE35         2104.6968698                    1       64.61611704508                    0           48.5050151           31.8256296      0.3321533229474       82.11941807738                    0
               MQR2ORE         2203.8099939                    1       36.82290946965                    0           34.8057218           33.1656568     0.05795563388238       46.79754890648                    0
