@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetax.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "1.01 s"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ RMS_BETABEAT %s "46.523 %"
@ Date %s "22. July 2019, 10:50:33"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
*                 NAME                    S              BETXMDL              ALFXMDL                 BETX             STATBETX              SYSBETX              ERRBETX                 ALFX             STATALFX              SYSALFX              ERRALFX                 CORR                NCOMB               BBEATX            DELTABETX
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC1LE            0.5300002            2.9087358           -5.2990847       2.816975127987                    0                    0        4.01185672416      -5.227179740068                    0                    0       14.79262262957                    0                   18    -0.03154658185615    -0.03154658185615
                MQC2LE            2.2500008          142.9688048         -106.7116067       37.52961685245                    0                    0       202.5031522066      -25.70855976134                    0                    0       301.0131953675                    0                   18     -0.7374978625236     -0.7374978625236
               MQLC3LE           12.9355133           26.9933253            1.1608736       16.14779651859                    0                    0       47.80854221022       1.232626181451                    0                    0       5.237095409483                    0                   23     -0.4017855770224     -0.4017855770224
               MQLC7LE           27.2720861            9.3764221           -1.0647787       10.30591224075                    0                    0       14.56649537724      -1.435124750799                    0                    0       4.317307344558                    0                   40     0.09913057783014     0.09913057783014
               MQLB1LE           55.2235731           12.5617527           -1.9840866       11.15401434883                    0                    0       15.60210332444      -2.190835095379                    0                    0        5.47106373747                    0                   42     -0.1120654406105     -0.1120654406105
               MQLB4LE           77.1787307           35.3516866            4.2598365       32.27818470723                    0                    0       32.36839707869       4.272768279189                    0                    0       7.797578520329                    0                   26    -0.08694074281513    -0.08694074281513
               MQLA2LE           98.9121927           36.8830728           -6.1504106       26.38826498995                    0                    0       32.61916408879      -4.380471691749                    0                    0       10.61847429152                    0                   34     -0.2845426645161     -0.2845426645161
               MQLA5LE          119.0986538           10.0415612           -3.1555304       9.168089409356                    0                    0       9.448682026715      -2.534976624563                    0                    0       5.670181651018                    0                   35    -0.08698565623881    -0.08698565623881
                MQD3E1          164.5639584            7.4403317            0.2028379       11.28415005252                    0                    0       7.176324180874     -0.7240774926779                    0                    0      0.9997373881879                    0                   43      0.5166192190759      0.5166192190759
                MQEAE4          230.8020191           48.5050151           -5.6463304       94.22539136875                    0                    0       43.92979283541      -11.52801067662                    0                    0       10.27721897474                    0                   41      0.9425907027241      0.9425907027241
                MQD3E4          270.0136808            7.4403317           -0.2028379       10.55611729817                    0                    0       6.370895193192    -0.05459641891287                    0                    0       1.042370581611                    0                   34      0.4187697167006      0.4187697167006
                MQEAE6          306.4724249           48.5050151           -5.6463304       79.25694025848                    0                    0       46.04073257907      -8.273166085256                    0                    0       10.66999187846                    0                   19      0.6339947548739      0.6339947548739
              MQTATNE1          354.4092937           45.9537751            4.4063204        34.0490454094                    0                    0       45.64007824613       3.311161505049                    0                    0       8.734398756853                    0                   24     -0.2590587969039     -0.2590587969039
              MQTATNE2          397.7476034           45.9537751           -4.4063204       29.35338043467                    0                    0       46.68595545704      -3.064148421733                    0                    0       9.034303184883                    0                   25     -0.3612411522057     -0.3612411522057
                MQEAE8          472.7108711           48.5050151           -5.6463304       106.9675187907                    0                    0       37.13621608761      -11.20469490142                    0                    0       8.754874139911                    0                   29       1.205287815502       1.205287815502
                MQD3E8          511.9225329            7.4403317           -0.2028379       5.239794327564                    0                    0        9.05620673531      0.1204614235348                    0                    0      0.9827451333891                    0                   21     -0.2957579663331     -0.2957579663331
               MQEAE10          548.3812769           48.5050151           -5.6463304       39.67106213592                    0                    0       50.90146835805      -4.080623468627                    0                    0       11.51874230094                    0                   14     -0.1821245276569     -0.1821245276569
               MQEAE11          597.0252838           48.5050151            5.6463304       80.39696065771                    0                    0       48.29571787187       8.502466504087                    0                    0       11.04411637882                    0                   27      0.6574978997936      0.6574978997936
