@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetay.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "0.75 s"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ RMS_BETABEAT %s "157.311 %"
@ Date %s "22. July 2019, 10:50:33"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
*                 NAME                    S              BETYMDL              ALFYMDL                 BETY             STATBETY              SYSBETY              ERRBETY                 ALFY             STATALFY              SYSALFY              ERRALFY                 CORR                NCOMB               BBEATY            DELTABETY
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC1LE            0.5300002           93.6285972         -176.6390896       34.09728237722                    0                    0        381.394911105      -63.92015536072                    0                    0        1436.08211114                    0                    1     -0.6358240602026     -0.6358240602026
                MQC2LE            2.2500008          291.1407337             168.5324       114.0092032365                    0                    0       1205.635972045       67.18576857328                    0                    0       1398.898188646                    0                    1     -0.6084051799017     -0.6084051799017
               MQLC3LE           12.9355133            7.6774363            3.9602896      -1.179136081126                    0                    0        8.35523474148     -0.8272091034906                    0                    0       9.794927404853                    0                   20       -1.15358461276       -1.15358461276
               MQLC7LE           27.2720861          227.9670433            2.7768696       1368.169024861                    0                    0       1048.064336879       21.50813951915                    0                    0       29.02563077799                    0                    4       5.001608851242       5.001608851242
               MQLB1LE           55.2235731          227.9626232           -2.7726728       684.0738632085                    0                    0       537.5387675135       -7.05844224056                    0                    0       11.06869732992                    0                    8       2.000815895193       2.000815895193
               MQLB4LE           77.1787307           18.1118897           -5.8434664       15.21119294677                    0                    0       41.50458516773       -5.01645536309                    0                    0       29.10111748259                    0                   11       -0.16015428546       -0.16015428546
               MQLA2LE           98.9121927           17.1404258            6.7980612      -5.844708856502                    0                    0       25.90834455366      -4.592856651197                    0                    0       19.72082656699                    0                   11      -1.340989711965      -1.340989711965
               MQLA5LE          119.0986538          234.1217208           14.3138633       80.43532774299                    0                    0       485.4203688002      -5.350067120675                    0                    0       65.60241975379                    0                    6     -0.6564379952952     -0.6564379952952
                MQD3E1          164.5639584           20.9498176            1.7084092      -16.66519893729                    0                    0       20.27499483057      -1.080346742255                    0                    0       3.044853546036                    0                   20      -1.795481815426      -1.795481815426
                MQEAE4          230.8020191            7.6858431            1.2526734       18.26631227338                    0                    0       6.692751804814        4.27557162705                    0                    0       2.225456466772                    0                   22       1.376617898091       1.376617898091
