@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:50:33"
@ Model_directory %s "model/"
@ FILENAME %s "getcouple.out"
@ CG %le nan
@ CG_std %le nan
@ QG %le nan
@ Q1F %le 0.5439538507440754
@ Q2F %le 0.5978671395483831
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
              "MQC2LE"            2.2500008                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6408192463208      0.1961113072509      0.6349683701953      0.1865382201603                  nan                  nan                  nan                  nan
              "MQD3E1"          164.5639584                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.9197508822365    0.002870141335642      0.6123109505528     0.04298368836396                  nan                  nan                  nan                  nan
              "MQEAE4"          230.8020191                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.9706409538952    0.006964007978718        0.50237765026      0.0313969679064                  nan                  nan                  nan                  nan
            "MQTATNE1"          354.4092937                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8518121672464      0.1760557714786      0.6443545935135      0.1674779542812                  nan                  nan                  nan                  nan
            "MQTATNE2"          397.7476034                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.2745206165318      0.1249103244631      0.2077765903777     0.09394775568213                  nan                  nan                  nan                  nan
              "MQEAE8"          472.7108711                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.313281645733     0.01949203270759      0.2401979934254      0.1011648564424                  nan                  nan                  nan                  nan
              "MQD3E8"          511.9225329                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.9166875222246     0.09866324842248      0.5369323633683     0.02753003479086                  nan                  nan                  nan                  nan
             "MQEAE11"          597.0252838                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.1794753381894      0.1224977380085      0.2826808722395     0.06002847896233                  nan                  nan                  nan                  nan
             "MQEAE16"          983.8943327                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6172971156515      0.1930162763779      0.7114127315616      0.0866241070517                  nan                  nan                  nan                  nan
            "MQTANFE1"         1107.5016074                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6165475952418     0.08776391066844      0.7210604573761      0.1705909591643                  nan                  nan                  nan                  nan
             "MQD3E16"         1189.3444407                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.5233823388917      0.1653063688908      0.7670986754585      0.1831249993708                  nan                  nan                  nan                  nan
               "MQI6E"         1404.3012987                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6556070909899     0.01711406060976      0.7352828943112      0.1572010446698                  nan                  nan                  nan                  nan
             "MQEAE44"         2735.3901425                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.5738852191525      0.1963328186258      0.8858398290475      0.1127047157005                  nan                  nan                  nan                  nan
