@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:27:19"
@ Model_directory %s "model/"
@ Q1 %le 0.5439538507440754
@ Q2 %le 0.5978671395483831
@ FILENAME %s "getphasetotx.out"
*                    S               MUXMDL                 NAME                NAME2                   S2               PHASEX               STDPHX               PHXMDL          DELTAPHASEX
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2203223               MQC1LE               MQC1LE            0.5300002                    0                  nan                    0                    0
             2.2500008            0.2410243               MQC2LE               MQC1LE            0.5300002       0.563524604041                  nan             0.020702      -0.457177395959
            12.9355133            0.2616968              MQLC3LE               MQC1LE            0.5300002      0.4945685221241                  nan            0.0413745      0.4531940221241
            27.2720861            0.4721468              MQLC7LE               MQC1LE            0.5300002      0.2748706408627                  nan            0.2518245      0.0230461408627
            55.2235731            0.9879476              MQLB1LE               MQC1LE            0.5300002       0.333349063744                  nan            0.7676253     -0.4342762362561
            77.1787307            1.3202075              MQLB4LE               MQC1LE            0.5300002      0.1096236630172                  nan            0.0998852      0.0097384630172
            98.9121927            1.8242478              MQLA2LE               MQC1LE            0.5300002      0.1579887379619                  nan            0.6039255     -0.4459367620381
           119.0986538            2.3120774              MQLA5LE               MQC1LE            0.5300002      0.1027299463542                  nan            0.0917551      0.0109748463542
           164.5639584            3.0072166               MQD3E1               MQC1LE            0.5300002      0.9012325510619                  nan            0.7868943      0.1143382510619
           230.8020191            4.0807687               MQEAE4               MQC1LE            0.5300002       0.435969710703                  nan            0.8604464      -0.424476689297
           270.0136808            4.6861856               MQD3E4               MQC1LE            0.5300002       0.491178161592                  nan            0.4658633       0.025314861592
           306.4724249            5.2289045               MQEAE6               MQC1LE            0.5300002      0.4820904419822                  nan    0.008582199999999      0.4735082419822
           354.4092937            5.9292318             MQTATNE1               MQC1LE            0.5300002      0.7079302643699                  nan            0.7089095  -0.0009792356300998
           397.7476034            6.4015278             MQTATNE2               MQC1LE            0.5300002      0.7230834251106                  nan            0.1812055     -0.4581220748894
           472.7108711            7.5699902               MQEAE8               MQC1LE            0.5300002      0.8246654525242                  nan            0.3496679      0.4749975525242
           511.9225329            8.1754072               MQD3E8               MQC1LE            0.5300002      0.9750630316766                  nan            0.9550849      0.0199781316766
           548.3812769             8.718126              MQEAE10               MQC1LE            0.5300002      0.9725278246966                  nan            0.4978037      0.4747241246966
           597.0252838            9.3981267              MQEAE11               MQC1LE            0.5300002      0.2713384683853                  nan            0.1778044      0.0935340683853
           696.7698054           10.9206195              MQR2NE1               MQC1LE            0.5300002      0.7961287802558                  nan            0.7002972      0.0958315802558
           753.3246054           11.5379038              MQFRNE3               MQC1LE            0.5300002      0.8725286878392                  nan            0.3175815     -0.4450528121608
           781.6020054            11.856421              MQDRNE5               MQC1LE            0.5300002       0.732141822268                  nan            0.6360987       0.096043122268
            881.197528           13.2020923              MQEAE13               MQC1LE            0.5300002      0.5353252933879                  nan              0.98177     -0.4464447066121
           947.4355886           14.2756444              MQD3E12               MQC1LE            0.5300002      0.6089503745033                  nan            0.0553221     -0.4463717254967
           983.8943327           14.8183633              MQEAE16               MQC1LE            0.5300002      0.1517961458923                  nan             0.598041     -0.4462448541077
          1023.1059944           15.4237802              MQD3E14               MQC1LE            0.5300002       0.215605641179                  nan            0.2034579       0.012147741179
          1059.5647385           15.9664991              MQEAE18               MQC1LE            0.5300002      0.8506914258897                  nan            0.7461768      0.1045146258897
          1107.5016074           16.6668263             MQTANFE1               MQC1LE            0.5300002      0.4476230728276                  nan             0.446504    0.001119072827589
          1189.3444407            17.764866              MQD3E16               MQC1LE            0.5300002      0.0785806427751                  nan            0.5445437     -0.4659630572249
          1225.8031848           18.3075848              MQEAE20               MQC1LE            0.5300002      0.1654388292148                  nan            0.0872625      0.0781763292148
          1265.0148465           18.9130018              MQD3E18               MQC1LE            0.5300002      0.2327609315142                  nan            0.6926795     -0.4599185684858
          1301.4735906           19.4557206              MQEAE22               MQC1LE            0.5300002       0.237017055868                  nan            0.2353983       0.001618755868
          1350.1175975           20.1357212              MQEAE23               MQC1LE            0.5300002      0.0068387872048                  nan            0.9153989      0.0914398872048
          1404.3012987             21.14351                MQI6E               MQC1LE            0.5300002      0.4725037902771                  nan            0.9231877     -0.4506839097229
          1418.7440064           21.2614628                MQI5E               MQC1LE            0.5300002      0.5772062902639                  nan            0.0411405     -0.4639342097361
          1424.1361014           21.2754895                MQI4E               MQC1LE            0.5300002      0.5905914109663                  nan            0.0551672     -0.4645757890337
          1494.6206604           22.6372352               MQX2RE               MQC1LE            0.5300002      0.9692041182811                  nan            0.4169129     -0.4477087817189
          1564.3492168           23.6951094                MQM2E               MQC1LE            0.5300002      0.4774109626642                  nan            0.4747871     0.00262386266423
          1608.8759522           24.4296714                MQM7E               MQC1LE            0.5300002      0.7732395948437                  nan            0.2093491     -0.4361095051563
          1634.7988225           24.9087078              MQEAE25               MQC1LE            0.5300002      0.2504750694263                  nan            0.6883855     -0.4379104305737
          1671.2575666           25.4514267              MQD3E21               MQC1LE            0.5300002      0.2552959841437                  nan            0.2311044      0.0241915841437
          1710.4692283           26.0568436              MQEAE27               MQC1LE            0.5300002       0.855535914203                  nan            0.8365213       0.019014614203
          1746.9279724           26.5995625              MQD3E23               MQC1LE            0.5300002      0.9363216487525                  nan            0.3792402     -0.4429185512475
          1786.1396341           27.2049794              MQEAE29               MQC1LE            0.5300002      0.4441324719106                  nan            0.9846571      0.4594753719106
           1813.166033           27.6731146              MQEAE30               MQC1LE            0.5300002      0.9147597696861                  nan            0.4527923      0.4619674696861
          1861.1278611           28.3637785             MQTAFOE1               MQC1LE            0.5300002      0.5880168671162                  nan            0.1434562      0.4445606671162
          1905.3942301           28.8386941             MQTAFOE2               MQC1LE            0.5300002      0.1532653228469                  nan            0.6183718     -0.4651064771531
          1980.3824571           29.9974932              MQEAE32               MQC1LE            0.5300002      0.2250599729185                  nan            0.7771709      0.4478890729185
          2065.4852081           31.2202127              MQD3E29               MQC1LE            0.5300002      0.5494115159225                  nan            0.9998904     -0.4504788840775
          2104.6968698           31.8256296              MQEAE35               MQC1LE            0.5300002      0.0557899800288                  nan            0.6053073      0.4504826800288
          2203.8099939           33.1656568              MQR2ORE               MQC1LE            0.5300002      0.9356869946338                  nan            0.9453345   -0.009647505366201
          2288.3421939           34.2378829              MQDROE5               MQC1LE            0.5300002      0.4768625095787                  nan            0.0175606      0.4593019095787
          2389.8065079           35.8334041              MQEAE37               MQC1LE            0.5300002      0.6110157575114                  nan            0.6130818   -0.002066042488603
           2426.265252           36.3761229              MQD3E31               MQC1LE            0.5300002      0.1621812401458                  nan            0.1558006    0.006380640145801
          2465.4769137           36.9815398              MQEAE39               MQC1LE            0.5300002      0.2007524863958                  nan            0.7612175      0.4395349863958
          2501.9356578           37.5242587              MQD3E33               MQC1LE            0.5300002      0.2848616937065                  nan            0.3039364     -0.0190747062935
          2541.1473195           38.1296756              MQEAE41               MQC1LE            0.5300002       0.888734718797                  nan            0.9093533      -0.020618581203
          2616.1355465           39.2884747             MQTAOTE1               MQC1LE            0.5300002      0.0525588124611                  nan            0.0681524     -0.0155935875389
          2660.4019155           39.7633903             MQTAOTE2               MQC1LE            0.5300002      0.5277622603733                  nan             0.543068     -0.0153057396267
          2735.3901425           40.9221894              MQEAE44               MQC1LE            0.5300002      0.6799376666716                  nan            0.7018671     -0.0219294333284
          2784.0341494             41.60219              MQEAE45               MQC1LE            0.5300002      0.3563324013278                  nan            0.3818677    -0.02553529867222
            2850.27221           42.6757421              MQD3E40               MQC1LE            0.5300002      0.8975041097677                  nan            0.4554198      0.4420843097677
          2920.9780873           43.8035918              MQLA2RE               MQC1LE            0.5300002      0.0350316823048                  nan            0.5832695      0.4517621823048
          2942.8131119           44.3053034              MQLB8RE               MQC1LE            0.5300002       0.993778284477                  nan            0.0849811      -0.091202815523
          2960.9918734           44.5395614              MQLB1RE               MQC1LE            0.5300002      0.1761449886311                  nan            0.3192391     -0.1430941113689
          2989.1433603           45.0677164              MQLC7RE               MQC1LE            0.5300002      0.7070023488891                  nan            0.8473941     -0.1403917511109
          3003.3799331           45.2894231              MQLC3RE               MQC1LE            0.5300002      0.5206661200673                  nan            0.0691008      0.4515653200673
          3013.8146988           45.3047308               MQC2RE               MQC1LE            0.5300002      0.9919557422344                  nan            0.0844085     -0.0924527577656
