@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/synched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/synched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:27:19"
@ Model_directory %s "model/"
@ Q1 %le 0.5439538507440754
@ Q2 %le 0.5978671395483831
@ FILENAME %s "getphasetoty.out"
*                    S               MUYMDL                 NAME                NAME2                   S2               PHASEY               STDPHY               PHYMDL          DELTAPHASEY
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2490992               MQC1LE               MQC1LE            0.5300002                    0                  nan                    0                    0
             2.2500008            0.2499778               MQC2LE               MQC1LE            0.5300002      0.9147755525615                  nan            0.0008786     -0.0861030474385
            12.9355133            0.2953789              MQLC3LE               MQC1LE            0.5300002      0.1417090607422                  nan            0.0462797      0.0954293607422
            27.2720861            0.7492946              MQLC7LE               MQC1LE            0.5300002      0.6522379809287                  nan            0.5001954      0.1520425809287
            55.2235731            1.2500394              MQLB1LE               MQC1LE            0.5300002      0.0145343995318                  nan   0.0009401999999998      0.0135941995318
            77.1787307            1.9465966              MQLB4LE               MQC1LE            0.5300002      0.7938723377521                  nan            0.6974974      0.0963749377521
            98.9121927            2.4533248              MQLA2LE               MQC1LE            0.5300002      0.1331587932548                  nan            0.2042256     -0.0710668067452
           119.0986538              2.94926              MQLA5LE               MQC1LE            0.5300002      0.9545335988261                  nan            0.7001608      0.2543727988261
           164.5639584            3.4064553               MQD3E1               MQC1LE            0.5300002      0.0776066256376                  nan            0.1573561     -0.0797494743624
           230.8020191            4.3815318               MQEAE4               MQC1LE            0.5300002      0.1354488105296                  nan            0.1324326      0.0030162105296
           270.0136808            5.0411482               MQD3E4               MQC1LE            0.5300002      0.7779447159868                  nan             0.792049     -0.0141042840132
           306.4724249            5.5047961               MQEAE6               MQC1LE            0.5300002      0.3504819042738                  nan            0.2556969     0.09478500427384
           354.4092937            6.2268103             MQTATNE1               MQC1LE            0.5300002      0.1173427035434                  nan            0.9777111      0.1396316035434
           397.7476034            6.6685508             MQTATNE2               MQC1LE            0.5300002      0.5150407683222                  nan            0.4194516      0.0955891683222
           472.7108711            7.7060253               MQEAE8               MQC1LE            0.5300002      0.4869154222683                  nan            0.4569261     0.02998932226835
           511.9225329            8.3656416               MQD3E8               MQC1LE            0.5300002      0.1423232264821                  nan            0.1165424      0.0257808264821
           548.3812769            8.8292895              MQEAE10               MQC1LE            0.5300002      0.6387605212504                  nan            0.5801903      0.0585702212504
           597.0252838            9.6370935              MQEAE11               MQC1LE            0.5300002      0.4186852957603                  nan            0.3879943     0.03069099576034
           696.7698054             10.85891              MQR2NE1               MQC1LE            0.5300002      0.5641392410664                  nan            0.6098108     -0.0456715589336
           753.3246054           11.4337841              MQFRNE3               MQC1LE            0.5300002      0.4313738955137                  nan            0.1846849      0.2466889955137
           781.6020054           11.7122452              MQDRNE5               MQC1LE            0.5300002      0.5457776971627                  nan             0.463146      0.0826316971627
            881.197528           12.8899378              MQEAE13               MQC1LE            0.5300002      0.6362575905565                  nan            0.6408386     -0.0045810094435
           947.4355886           13.8650143              MQD3E12               MQC1LE            0.5300002      0.5600296814152                  nan            0.6159151     -0.0558854185848
           983.8943327           14.3286622              MQEAE16               MQC1LE            0.5300002      0.8900008492742                  nan             0.079563     -0.1895621507258
          1023.1059944           14.9882786              MQD3E14               MQC1LE            0.5300002      0.6622800911098                  nan            0.7391794     -0.0768993088902
          1059.5647385           15.4519265              MQEAE18               MQC1LE            0.5300002      0.2546965666898                  nan            0.2028273      0.0518692666898
          1107.5016074           16.1739407             MQTANFE1               MQC1LE            0.5300002      0.8356050660962                  nan            0.9248415     -0.0892364339038
          1189.3444407           17.1895078              MQD3E16               MQC1LE            0.5300002      0.7840867233617                  nan            0.9404086     -0.1563218766383
          1225.8031848           17.6531557              MQEAE20               MQC1LE            0.5300002      0.4728260153074                  nan            0.4040565     0.06876951530741
          1265.0148465            18.312772              MQD3E18               MQC1LE            0.5300002      0.1677018023335                  nan            0.0636728      0.1040290023335
          1301.4735906           18.7764199              MQEAE22               MQC1LE            0.5300002      0.6316987251796                  nan            0.5273207      0.1043780251796
          1350.1175975           19.5842239              MQEAE23               MQC1LE            0.5300002      0.3589332778795                  nan            0.3351247     0.02380857787954
          1404.3012987           20.2018289                MQI6E               MQC1LE            0.5300002      0.8275704483808                  nan            0.9527297     -0.1251592516192
          1418.7440064           20.2546404                MQI5E               MQC1LE            0.5300002      0.0463921336059                  nan            0.0055412      0.0408509336059
          1424.1361014           20.2734103                MQI4E               MQC1LE            0.5300002      0.0725718894823                  nan            0.0243111      0.0482607894823
          1494.6206604           21.2341795               MQX2RE               MQC1LE            0.5300002      0.8268377548518                  nan            0.9850803     -0.1582425451482
          1564.3492168           22.0286912                MQM2E               MQC1LE            0.5300002      0.7640090467816                  nan             0.779592     -0.0155829532184
          1608.8759522           22.6624348                MQM7E               MQC1LE            0.5300002      0.1929345111942                  nan            0.4133356     -0.2204010888058
          1671.2575666           23.4501631              MQD3E21               MQC1LE            0.5300002      0.2069502336779                  nan            0.2010639    0.005886333677899
          1710.4692283           24.1097794              MQEAE27               MQC1LE            0.5300002      0.9422970813485                  nan            0.8606802      0.0816168813485
          1746.9279724           24.5734273              MQD3E23               MQC1LE            0.5300002      0.3208978749501                  nan            0.3243281   -0.003430225049849
          1786.1396341           25.2330437              MQEAE29               MQC1LE            0.5300002      0.9797273762378                  nan            0.9839445     -0.0042171237622
           1813.166033           25.5485039              MQEAE30               MQC1LE            0.5300002      0.3169816060674                  nan            0.2994047     0.01757690606736
          1861.1278611           26.2818318             MQTAFOE1               MQC1LE            0.5300002       0.082963650986                  nan            0.0327326       0.050231050986
