@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:26:27"
@ Model_directory %s "model/"
@ Q1 %le 0.5440712693423853
@ Q2 %le 0.5929047258028299
@ RMSbetabeat %le 0.3170516324254311
@ RescalingFactor %le 1.18303620306193
@ FILENAME %s "getampbetax.out"
*                 NAME                    S                COUNT                 BETX              BETXSTD              BETXMDL               MUXMDL            DELTABETX              BETXRES           BETXSTDRES
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       1.146516272212                    0            2.9087358            0.2203223     -0.6058369164322       1.356370257427                    0
                MQC2LE            2.2500008                    1       234.6683440671                    0          142.9688048            0.2410243      0.6413954386438       277.6211467439                    0
               MQLC3LE           12.9355133                    1       44.36444249115                    0           26.9933253            0.2616968      0.6435337994888       52.48474159569                    0
               MQLC7LE           27.2720861                    1       9.660255649446                    0            9.3764221            0.4721468     0.03027098678143       11.42843216413                    0
               MQLB1LE           55.2235731                    1       12.28009946364                    0           12.5617527            0.9879476     -0.0224214918956       14.52780224269                    0
               MQLB4LE           77.1787307                    1       43.88854937745                    0           35.3516866            1.3202075      0.2414838894121       51.92174281339                    0
               MQLA2LE           98.9121927                    1        52.3304254043                    0           36.8830728            1.8242478      0.4188195676663       61.90878777492                    0
               MQLA5LE          119.0986538                    1       11.82592177568                    0           10.0415612            2.3120774      0.1776975253289       13.99049359521                    0
                MQD3E1          164.5639584                    1       6.866967462552                    0            7.4403317            3.0072166    -0.07706165001329       8.123871113447                    0
                MQEAE4          230.8020191                    1       37.48560668446                    0           48.5050151            4.0807687     -0.2271808057954       44.34682980146                    0
                MQD3E4          270.0136808                    1        7.04731020976                    0            7.4403317            4.6861856    -0.05282311408784       8.337223112354                    0
                MQEAE6          306.4724249                    1       57.47138546267                    0           48.5050151            5.2289045      0.1848545010074       67.99072964246                    0
              MQTATNE1          354.4092937                    1       35.25019872239                    0           45.9537751            5.9292318     -0.2329205022724       41.70226125372                    0
              MQTATNE2          397.7476034                    1       37.39934530804                    0           45.9537751            6.4015278     -0.1861529280967       44.24477947022                    0
                MQEAE8          472.7108711                    1       35.80524090622                    0           48.5050151            7.5699902     -0.2618239406297       42.35889625141                    0
                MQD3E8          511.9225329                    1       6.294467472304                    0            7.4403317            8.1754072     -0.1540071429471       7.446582898732                    0
               MQEAE10          548.3812769                    1       49.15006038133                    0           48.5050151             8.718126     0.01329852758524       58.14630081379                    0
               MQEAE11          597.0252838                    1       51.02368636427                    0           48.5050151            9.3981267     0.05192599691142       60.36286818261                    0
               MQR2NE1          696.7698054                    1       10.53462242334                    0           28.8232835           10.9206195      -0.634509981372       12.46283971239                    0
               MQFRNE3          753.3246054                    1        13.2118708842                    0           28.8233021           11.5379038     -0.5416253544316       15.63012156619                    0
               MQDRNE5          781.6020054                    1        3.18491703404                    0            8.5241331            11.856421     -0.6263646992983       3.767872155018                    0
               MQEAE13           881.197528                    1       56.49035719976                    0           48.5050151           13.2020923      0.1646292055223       66.83013769122                    0
               MQD3E12          947.4355886                    1       7.369796278129                    0            7.4403317           14.2756444   -0.009480144799315       8.718735806218                    0
               MQEAE16          983.8943327                    1       41.05978871637                    0           48.5050151           14.8183633     -0.1534939504355       48.57521654154                    0
               MQD3E14         1023.1059944                    1       5.631660905891                    0            7.4403317           15.4237802     -0.2430900754208       6.662458735038                    0
               MQEAE18         1059.5647385                    1       37.22816743664                    0           48.5050151           15.9664991     -0.2324882827088       44.04226985119                    0
              MQTANFE1         1107.5016074                    1       40.93471285061                    0           45.9537751           16.6668263     -0.1092198026924       48.42724726421                    0
               MQD3E16         1189.3444407                    1       7.286042630856                    0            7.4403317            17.764866    -0.02073685359273       8.619652209355                    0
               MQEAE20         1225.8031848                    1       36.46705031634                    0           48.5050151           18.3075848     -0.2481797966425       43.14184074311                    0
               MQD3E18         1265.0148465                    1       5.748874219763                    0            7.4403317           18.9130018     -0.2273363001057       6.801126328829                    0
               MQEAE22         1301.4735906                    1       41.67269164778                    0           48.5050151           19.4557206     -0.1408580831927       49.30030289836                    0
               MQEAE23         1350.1175975                    1       56.84073861701                    0           48.5050151           20.1357212      0.1718528176895        67.2446515927                    0
                 MQI6E         1404.3012987                    1       11.77031307841                    0           12.5196316             21.14351    -0.05985148329691       13.92470649313                    0
                 MQI5E         1418.7440064                    1       80.07345167013                    0           36.6707357           21.2614628       1.183579089474        94.7297922299                    0
                 MQI4E         1424.1361014                    1       129.7262619268                    0          102.3414091           21.2754895       0.267583308336       153.4708643472                    0
                MQX2RE         1494.6206604                    1       81.68925937414                    0            79.143814           22.6372352     0.03216227833219       96.64135124092                    0
                 MQM2E         1564.3492168                    1       27.17845434554                    0           29.3408767           23.6951094    -0.07369999119545       32.15309543404                    0
                 MQM7E         1608.8759522                    1       4.921030667195                    0            5.5669757           24.4296714     -0.1160315883551        5.82175743567                    0
               MQEAE25         1634.7988225                    1       39.36461933557                    0           48.5050151           24.9087078     -0.1884422826296       46.56976979374                    0
               MQD3E21         1671.2575666                    1       8.318924951334                    0            7.4403317           25.4514267      0.1180852261377       9.841589387984                    0
               MQEAE27         1710.4692283                    1       52.33231979037                    0           48.5050151           26.0568436     0.07890533963298       61.91102890222                    0
               MQD3E23         1746.9279724                    1       7.463952451983                    0            7.4403317           26.5995625    0.003174690717546       8.830125968629                    0
               MQEAE29         1786.1396341                    1       42.93761895018                    0           48.5050151           27.2049794     -0.1147798044871       50.79675769134                    0
               MQEAE30          1813.166033                    1       68.52413978752                    0           48.5050151           27.6731146      0.4127227802372       81.06653815231                    0
