@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:26:27"
@ Model_directory %s "model/"
@ Q1 %le 0.5440712693423853
@ Q2 %le 0.5929047258028299
@ RMSbetabeat %le 1.8645509867306795
@ RescalingFactor %le 1.0568778033270227
@ FILENAME %s "getampbetay.out"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            DELTABETY              BETYRES           BETYSTDRES
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       5.291373643071                    0           93.6285972            0.2490992     -0.9434854969388       5.592335352472                    0
                MQC2LE            2.2500008                    1       21.70885552068                    0          291.1407337            0.2499778     -0.9254351830306       22.94360753544                    0
               MQLC3LE           12.9355133                    1        20.9194311351                    0            7.6774363            0.2953789       1.724793839722       22.10928242491                    0
               MQLC7LE           27.2720861                    1       3.407085707812                    0          227.9670433            0.7492946     -0.9850544813036       3.600873258619                    0
               MQLB1LE           55.2235731                    1       11.11383627393                    0          227.9626232            1.2500394     -0.9512471118383       11.74596686772                    0
               MQLB4LE           77.1787307                    1       20.55712502971                    0           18.1118897            1.9465966       0.135007189764       21.72636914412                    0
               MQLA2LE           98.9121927                    1       7.855724942335                    0           17.1404258            2.4533248     -0.5416843762227       8.302541320597                    0
               MQLA5LE          119.0986538                    1       13.35250092592                    0          234.1217208              2.94926     -0.9429676969728       14.11196184751                    0
                MQD3E1          164.5639584                    1       49.27769239952                    0           20.9498176            3.4064553       1.352177634211       52.08049929623                    0
                MQEAE4          230.8020191                    1      0.5264464264822                    0            7.6858431            4.3815318     -0.9315044010615      0.5563895427898                    0
                MQD3E4          270.0136808                    1       32.52892689259                    0           20.9498176            5.0411482      0.5527069263167       34.37910079883                    0
                MQEAE6          306.4724249                    1       4.845514407994                    0            7.6858431            5.5047961     -0.3695533014467        5.12111662351                    0
              MQTATNE1          354.4092937                    1       17.72931251313                    0           14.5078121            6.2268103      0.2220528078887       18.73771686337                    0
              MQTATNE2          397.7476034                    1       44.43478733499                    0           14.5078121            6.6685508       2.062817951371       46.96214042991                    0
                MQEAE8          472.7108711                    1       6.623828511322                    0            7.6858431            7.7060253     -0.1381780209223       7.000577326661                    0
                MQD3E8          511.9225329                    1       8.054553446261                    0           20.9498176            8.3656416     -0.6155310943489       8.512678753065                    0
               MQEAE10          548.3812769                    1       1.914964017845                    0            7.6858431            8.8292895     -0.7508452888084        2.02388296463                    0
               MQEAE11          597.0252838                    1       14.45960670199                    0            7.6858431            9.6370935      0.8813299352923       15.28203736817                    0
               MQR2NE1          696.7698054                    1       2.203086691152                    0            9.2517301             10.85891     -0.7618730045797       2.328393422684                    0
               MQFRNE3          753.3246054                    1        1.15887853169                    0            9.2517568           11.4337841      -0.874739624404       1.224792996896                    0
               MQDRNE5          781.6020054                    1       49.46241971671                    0           30.1970047           11.7122452      0.6379909268521       52.27573349744                    0
               MQEAE13           881.197528                    1       6.284273414712                    0            7.6858431           12.8899378     -0.1823573116251       6.641709082047                    0
               MQD3E12          947.4355886                    1       5.874511302119                    0           20.9498176           13.8650143     -0.7195912912331       6.208640600603                    0
               MQEAE16          983.8943327                    1       2.806971976306                    0            7.6858431           14.3286622     -0.6347867189344       2.966626376319                    0
               MQD3E14         1023.1059944                    1      0.4556450113972                    0           20.9498176           14.9882786     -0.9782506454186      0.4815610987424                    0
               MQEAE18         1059.5647385                    1       4.025595127694                    0            7.6858431           15.4519265     -0.4762324607311       4.254562135641                    0
              MQTANFE1         1107.5016074                    1       13.56846610296                    0           14.5078121           16.1739407    -0.06474759878092       14.34021064941                    0
               MQD3E16         1189.3444407                    1       5.382900667096                    0           20.9498176           17.1895078     -0.7430573969725       5.689068232568                    0
               MQEAE20         1225.8031848                    1       1.442551947938                    0            7.6858431           17.6531557     -0.8123105130863       1.524601133922                    0
               MQD3E18         1265.0148465                    1       15.23912865708                    0           20.9498176            18.312772     -0.2725889576683       16.10589681971                    0
