@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetax.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "1.13 s"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ RMS_BETABEAT %s "30.438 %"
@ Date %s "22. July 2019, 10:49:56"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
*                 NAME                    S              BETXMDL              ALFXMDL                 BETX             STATBETX              SYSBETX              ERRBETX                 ALFX             STATALFX              SYSALFX              ERRALFX                 CORR                NCOMB               BBEATX            DELTABETX
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC1LE            0.5300002            2.9087358           -5.2990847       4.503907876929                    0                    0       3.979906630205      -8.357733893686                    0                    0        14.6734299695                    0                   23      0.5484073448434      0.5484073448434
                MQC2LE            2.2500008          142.9688048         -106.7116067       76.34771654678                    0                    0       214.1864306894       -55.6370215314                    0                    0       318.2701675619                    0                   20     -0.4659833894983     -0.4659833894983
               MQLC3LE           12.9355133           26.9933253            1.1608736       22.32994399029                    0                    0       43.27172062008       1.071604137354                    0                    0       4.751542986429                    0                   27     -0.1727605346095     -0.1727605346095
               MQLC7LE           27.2720861            9.3764221           -1.0647787       9.080908871307                    0                    0       14.56649537724      -1.233072168029                    0                    0       4.317307344449                    0                   41     -0.0315166302819     -0.0315166302819
               MQLB1LE           55.2235731           12.5617527           -1.9840866       11.53148179785                    0                    0       15.60210332444      -1.984481663824                    0                    0        5.47106373747                    0                   43    -0.08201649298094    -0.08201649298094
               MQLB4LE           77.1787307           35.3516866            4.2598365       31.52225399838                    0                    0       32.36839707869       3.920713473925                    0                    0        7.79757852033                    0                   28     -0.1083239010616     -0.1083239010616
               MQLA2LE           98.9121927           36.8830728           -6.1504106       34.38217708035                    0                    0       32.61916408879      -5.525887607143                    0                    0       10.61847429152                    0                   35    -0.06780605654023    -0.06780605654023
               MQLA5LE          119.0986538           10.0415612           -3.1555304       10.49441317598                    0                    0       9.448682026715      -3.119511583035                    0                    0       5.670181651018                    0                   36     0.04509776587171     0.04509776587171
                MQD3E1          164.5639584            7.4403317            0.2028379       7.576196714033                    0                    0       7.176324180874     -0.2407648889301                    0                    0      0.9997373881879                    0                   45     0.01826061249836     0.01826061249836
                MQEAE4          230.8020191           48.5050151           -5.6463304       53.40880530039                    0                    0       43.92979283541      -6.363268962847                    0                    0       10.27721897474                    0                   45      0.1010986222823      0.1010986222823
                MQD3E4          270.0136808            7.4403317           -0.2028379       9.120197393411                    0                    0       6.229660781826     -0.2899022845906                    0                    0       1.039603819391                    0                   45      0.2257783337014      0.2257783337014
                MQEAE6          306.4724249           48.5050151           -5.6463304        58.6719419799                    0                    0       42.92673525662      -6.781744490962                    0                    0       9.989291865028                    0                   45      0.2096056842563      0.2096056842563
              MQTATNE1          354.4092937           45.9537751            4.4063204       35.74275897503                    0                    0        44.2402592318       3.588669202168                    0                    0       8.467563166122                    0                   37     -0.2222018996861     -0.2222018996861
