@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:26:27"
@ Model_directory %s "model/"
@ FILENAME %s "getcouple.out"
@ CG %le nan
@ CG_std %le nan
@ QG %le nan
@ Q1F %le 0.5440712693423853
@ Q2F %le 0.5929047258028299
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
             "MQLC7LE"           27.2720861                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8112299925992     0.02847127057456      0.7295735375554     0.09047474854132                  nan                  nan                  nan                  nan
             "MQLB4LE"           77.1787307                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.3392391831861      0.1817529813872      0.9443883636117      0.1820896199311                  nan                  nan                  nan                  nan
              "MQEAE6"          306.4724249                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.1822656303802      0.1584218669013      0.1523894682726      0.1020263872125                  nan                  nan                  nan                  nan
            "MQTATNE2"          397.7476034                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.2680673160873     0.08576703553274      0.3884914201003      0.1605571728644                  nan                  nan                  nan                  nan
              "MQEAE8"          472.7108711                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.7431738626643      0.1679786810423      0.6479601834216    0.009659539769349                  nan                  nan                  nan                  nan
             "MQFRNE3"          753.3246054                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.5422586553116     0.01418146110381     0.07532966927405      0.1804936624386                  nan                  nan                  nan                  nan
             "MQD3E12"          947.4355886                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.4525458829635      0.1170785461242      0.8594727015779      0.1901485268364                  nan                  nan                  nan                  nan
            "MQTANFE1"         1107.5016074                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.2119047779793      0.1519643313115      0.1307737555648     0.09373789108479                  nan                  nan                  nan                  nan
               "MQI5E"         1418.7440064                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.1863965918175     0.01789035393474      0.2750958078157     0.07490579271297                  nan                  nan                  nan                  nan
             "MQD3E23"         1746.9279724                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6899740618542      0.1514653550114     0.01994495445873      0.2000633090582                  nan                  nan                  nan                  nan
             "MQEAE29"         1786.1396341                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.115303050954      0.1178865358108      0.5767877011714      0.1991968747619                  nan                  nan                  nan                  nan
             "MQR2ORE"         2203.8099939                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.3737342050316      0.1482804022453      0.0508370471024     0.02453982167907                  nan                  nan                  nan                  nan
             "MQEAE37"         2389.8065079                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6541353733727      0.1792282747853      0.6480376769848      0.1444301653506                  nan                  nan                  nan                  nan
             "MQEAE39"         2465.4769137                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.9316712382643      0.1868894910349      0.7840000495719       0.175458269929                  nan                  nan                  nan                  nan
             "MQEAE44"         2735.3901425                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.1447941320269       0.222732263001      0.4963975345831     0.02417029178125                  nan                  nan                  nan                  nan
             "MQEAE45"         2784.0341494                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.3204243822136      0.1741985001906      0.1451726438933      0.1066481602739                  nan                  nan                  nan                  nan
             "MQD3E40"           2850.27221                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8761217302803     0.06350448710964      0.5455842181363     0.04960965393849                  nan                  nan                  nan                  nan
