@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:49:56"
@ Model_directory %s "model/"
@ Q1 %le 0.5440712693423853
@ Q2 %le 0.5929047258028299
@ FILENAME %s "getphasetotx.out"
*                    S               MUXMDL                 NAME                NAME2                   S2               PHASEX               STDPHX               PHXMDL          DELTAPHASEX
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2203223               MQC1LE               MQC1LE            0.5300002                    0                  nan                    0                    0
             2.2500008            0.2410243               MQC2LE               MQC1LE            0.5300002      0.0191533614816                  nan             0.020702     -0.0015486385184
            12.9355133            0.2616968              MQLC3LE               MQC1LE            0.5300002      0.0401650148725                  nan            0.0413745     -0.0012094851275
            27.2720861            0.4721468              MQLC7LE               MQC1LE            0.5300002      0.2725609118195                  nan            0.2518245      0.0207364118195
            55.2235731            0.9879476              MQLB1LE               MQC1LE            0.5300002      0.7899369425502                  nan            0.7676253      0.0223116425502
            77.1787307            1.3202075              MQLB4LE               MQC1LE            0.5300002      0.1101405813493                  nan            0.0998852      0.0102553813493
            98.9121927            1.8242478              MQLA2LE               MQC1LE            0.5300002      0.6133786656624                  nan            0.6039255      0.0094531656624
           119.0986538            2.3120774              MQLA5LE               MQC1LE            0.5300002      0.1023297258143                  nan            0.0917551      0.0105746258143
           164.5639584            3.0072166               MQD3E1               MQC1LE            0.5300002      0.3577623934319                  nan            0.7868943     -0.4291319065681
           230.8020191            4.0807687               MQEAE4               MQC1LE            0.5300002      0.8925709748512                  nan            0.8604464      0.0321245748512
           270.0136808            4.6861856               MQD3E4               MQC1LE            0.5300002      0.4912113706123                  nan            0.4658633     0.02534807061227
           306.4724249            5.2289045               MQEAE6               MQC1LE            0.5300002      0.0271152759873                  nan    0.008582199999999      0.0185330759873
           354.4092937            5.9292318             MQTATNE1               MQC1LE            0.5300002      0.7088922600721                  nan            0.7089095  -1.723992790004e-05
           397.7476034            6.4015278             MQTATNE2               MQC1LE            0.5300002      0.1785662016173                  nan            0.1812055     -0.0026392983827
           472.7108711            7.5699902               MQEAE8               MQC1LE            0.5300002      0.3675665924328                  nan            0.3496679     0.01789869243278
           511.9225329            8.1754072               MQD3E8               MQC1LE            0.5300002      0.9760344702671                  nan            0.9550849      0.0209495702671
           548.3812769             8.718126              MQEAE10               MQC1LE            0.5300002      0.5159242561727                  nan            0.4978037     0.01812055617271
           597.0252838            9.3981267              MQEAE11               MQC1LE            0.5300002      0.7277865245863                  nan            0.1778044     -0.4500178754137
           696.7698054           10.9206195              MQR2NE1               MQC1LE            0.5300002      0.2557061529823                  nan            0.7002972     -0.4445910470177
           753.3246054           11.5379038              MQFRNE3               MQC1LE            0.5300002      0.8733194966863                  nan            0.3175815     -0.4442620033137
           781.6020054            11.856421              MQDRNE5               MQC1LE            0.5300002      0.1819636328195                  nan            0.6360987     -0.4541350671805
            881.197528           13.2020923              MQEAE13               MQC1LE            0.5300002      0.5360033924187                  nan              0.98177     -0.4457666075813
           947.4355886           14.2756444              MQD3E12               MQC1LE            0.5300002      0.6081046140262                  nan            0.0553221     -0.4472174859738
           983.8943327           14.8183633              MQEAE16               MQC1LE            0.5300002      0.1506667593519                  nan             0.598041     -0.4473742406481
          1023.1059944           15.4237802              MQD3E14               MQC1LE            0.5300002      0.7624010090297                  nan            0.2034579     -0.4410568909703
          1059.5647385           15.9664991              MQEAE18               MQC1LE            0.5300002      0.3059634813996                  nan            0.7461768     -0.4402133186004
          1107.5016074           16.6668263             MQTANFE1               MQC1LE            0.5300002      0.9912991844224                  nan             0.446504     -0.4552048155776
          1189.3444407            17.764866              MQD3E16               MQC1LE            0.5300002      0.0822620367659                  nan            0.5445437     -0.4622816632341
          1225.8031848           18.3075848              MQEAE20               MQC1LE            0.5300002      0.6213972043942                  nan            0.0872625     -0.4658652956058
          1265.0148465           18.9130018              MQD3E18               MQC1LE            0.5300002       0.234901006463                  nan            0.6926795      -0.457778493537
          1301.4735906           19.4557206              MQEAE22               MQC1LE            0.5300002      0.7816865235261                  nan            0.2353983     -0.4537117764739
          1350.1175975           20.1357212              MQEAE23               MQC1LE            0.5300002      0.4630926840537                  nan            0.9153989     -0.4523062159463
          1404.3012987             21.14351                MQI6E               MQC1LE            0.5300002      0.4698115294558                  nan            0.9231877     -0.4533761705442
          1418.7440064           21.2614628                MQI5E               MQC1LE            0.5300002      0.5776502623341                  nan            0.0411405     -0.4634902376659
          1424.1361014           21.2754895                MQI4E               MQC1LE            0.5300002      0.5898077951756                  nan            0.0551672     -0.4653594048244
          1494.6206604           22.6372352               MQX2RE               MQC1LE            0.5300002      0.9689594423548                  nan            0.4169129     -0.4479534576452
          1564.3492168           23.6951094                MQM2E               MQC1LE            0.5300002      0.0206139277147                  nan            0.4747871     -0.4541731722853
          1608.8759522           24.4296714                MQM7E               MQC1LE            0.5300002      0.7740239134814                  nan            0.2093491     -0.4353251865186
          1634.7988225           24.9087078              MQEAE25               MQC1LE            0.5300002      0.2518745732832                  nan            0.6883855     -0.4365109267168
          1671.2575666           25.4514267              MQD3E21               MQC1LE            0.5300002      0.2535977010638                  nan            0.2311044      0.0224933010638
          1710.4692283           26.0568436              MQEAE27               MQC1LE            0.5300002      0.8559130006988                  nan            0.8365213      0.0193917006988
          1746.9279724           26.5995625              MQD3E23               MQC1LE            0.5300002      0.3950264544738                  nan            0.3792402     0.01578625447378
          1786.1396341           27.2049794              MQEAE29               MQC1LE            0.5300002      0.9877706994581                  nan            0.9846571      0.0031135994581
           1813.166033           27.6731146              MQEAE30               MQC1LE            0.5300002      0.4583996786547                  nan            0.4527923    0.005607378654688
          1861.1278611           28.3637785             MQTAFOE1               MQC1LE            0.5300002      0.1318745493631                  nan            0.1434562     -0.0115816506369
          1905.3942301           28.8386941             MQTAFOE2               MQC1LE            0.5300002      0.6090652568062                  nan            0.6183718   -0.009306543193802
          1980.3824571           29.9974932              MQEAE32               MQC1LE            0.5300002      0.7690314000619                  nan            0.7771709   -0.008139499938101
          2065.4852081           31.2202127              MQD3E29               MQC1LE            0.5300002      0.0048813930038                  nan            0.9998904    0.004990993003798
          2104.6968698           31.8256296              MQEAE35               MQC1LE            0.5300002      0.5994566095047                  nan            0.6053073     -0.0058506904953
          2203.8099939           33.1656568              MQR2ORE               MQC1LE            0.5300002      0.9353649441918                  nan            0.9453345   -0.009969555808201
          2288.3421939           34.2378829              MQDROE5               MQC1LE            0.5300002      0.0133143018373                  nan            0.0175606   -0.004246298162703
          2389.8065079           35.8334041              MQEAE37               MQC1LE            0.5300002      0.6104652620263                  nan            0.6130818   -0.002616537973703
           2426.265252           36.3761229              MQD3E31               MQC1LE            0.5300002      0.1628604480968                  nan            0.1558006    0.007059848096801
          2465.4769137           36.9815398              MQEAE39               MQC1LE            0.5300002      0.7438024606047                  nan            0.7612175     -0.0174150393953
          2501.9356578           37.5242587              MQD3E33               MQC1LE            0.5300002       0.285295531018                  nan            0.3039364      -0.018640868982
          2541.1473195           38.1296756              MQEAE41               MQC1LE            0.5300002      0.8886970540426                  nan            0.9093533     -0.0206562459574
          2616.1355465           39.2884747             MQTAOTE1               MQC1LE            0.5300002       0.051773864464                  nan            0.0681524      -0.016378535536
          2660.4019155           39.7633903             MQTAOTE2               MQC1LE            0.5300002      0.5275043363046                  nan             0.543068    -0.01556366369535
          2735.3901425           40.9221894              MQEAE44               MQC1LE            0.5300002      0.6796598781979                  nan            0.7018671     -0.0222072218021
          2784.0341494             41.60219              MQEAE45               MQC1LE            0.5300002      0.3557592976742                  nan            0.3818677    -0.02610840232584
            2850.27221           42.6757421              MQD3E40               MQC1LE            0.5300002      0.8996503753645                  nan            0.4554198      0.4442305753645
          2920.9780873           43.8035918              MQLA2RE               MQC1LE            0.5300002      0.0345931321437                  nan            0.5832695      0.4513236321437
          2942.8131119           44.3053034              MQLB8RE               MQC1LE            0.5300002      0.5358512321478                  nan            0.0849811      0.4508701321478
          2960.9918734           44.5395614              MQLB1RE               MQC1LE            0.5300002      0.7168466134108                  nan            0.3192391      0.3976075134108
          2989.1433603           45.0677164              MQLC7RE               MQC1LE            0.5300002      0.2506162453488                  nan            0.8473941      0.4032221453488
          3003.3799331           45.2894231              MQLC3RE               MQC1LE            0.5300002      0.5196619462624                  nan            0.0691008      0.4505611462624
          3013.8146988           45.3047308               MQC2RE               MQC1LE            0.5300002      0.5361518624214                  nan            0.0844085      0.4517433624214
          3015.7846995           45.3257444               MQC1RE               MQC1LE            0.5300002      0.5555685252564                  nan            0.1054221      0.4501464252564
