@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:26:27"
@ Model_directory %s "model/"
@ Q1 %le 0.5440712693423853
@ Q2 %le 0.5929047258028299
@ FILENAME %s "getphasetoty.out"
*                    S               MUYMDL                 NAME                NAME2                   S2               PHASEY               STDPHY               PHYMDL          DELTAPHASEY
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2490992               MQC1LE               MQC1LE            0.5300002                    0                  nan                    0                    0
             2.2500008            0.2499778               MQC2LE               MQC1LE            0.5300002      0.9629306271105                  nan            0.0008786     -0.0379479728895
            12.9355133            0.2953789              MQLC3LE               MQC1LE            0.5300002      0.2078173962482                  nan            0.0462797      0.1615376962482
            27.2720861            0.7492946              MQLC7LE               MQC1LE            0.5300002      0.8268083299344                  nan            0.5001954      0.3266129299344
            55.2235731            1.2500394              MQLB1LE               MQC1LE            0.5300002      0.2017423667421                  nan   0.0009401999999998      0.2008021667421
            77.1787307            1.9465966              MQLB4LE               MQC1LE            0.5300002      0.4429058868579                  nan            0.6974974     -0.2545915131421
            98.9121927            2.4533248              MQLA2LE               MQC1LE            0.5300002      0.2859438230663                  nan            0.2042256     0.08171822306629
           119.0986538              2.94926              MQLA5LE               MQC1LE            0.5300002      0.4547131145901                  nan            0.7001608     -0.2454476854099
           164.5639584            3.4064553               MQD3E1               MQC1LE            0.5300002      0.4717852068616                  nan            0.1573561      0.3144291068616
           230.8020191            4.3815318               MQEAE4               MQC1LE            0.5300002      0.4046247522469                  nan            0.1324326      0.2721921522469
           270.0136808            5.0411482               MQD3E4               MQC1LE            0.5300002      0.7122582465142                  nan             0.792049     -0.0797907534858
           306.4724249            5.5047961               MQEAE6               MQC1LE            0.5300002       0.275428629391                  nan            0.2556969     0.01973172939096
           354.4092937            6.2268103             MQTATNE1               MQC1LE            0.5300002      0.8597561095787                  nan            0.9777111     -0.1179549904213
           397.7476034            6.6685508             MQTATNE2               MQC1LE            0.5300002      0.2056767632704                  nan            0.4194516     -0.2137748367297
           472.7108711            7.7060253               MQEAE8               MQC1LE            0.5300002      0.8407661465261                  nan            0.4569261      0.3838400465261
           511.9225329            8.3656416               MQD3E8               MQC1LE            0.5300002      0.9367176060533                  nan            0.1165424     -0.1798247939467
           548.3812769            8.8292895              MQEAE10               MQC1LE            0.5300002      0.4637818515232                  nan            0.5801903     -0.1164084484768
           597.0252838            9.6370935              MQEAE11               MQC1LE            0.5300002      0.4449566648594                  nan            0.3879943      0.0569623648594
           696.7698054             10.85891              MQR2NE1               MQC1LE            0.5300002      0.4190989641219                  nan            0.6098108     -0.1907118358781
           753.3246054           11.4337841              MQFRNE3               MQC1LE            0.5300002      0.5277965533209                  nan            0.1846849      0.3431116533209
           781.6020054           11.7122452              MQDRNE5               MQC1LE            0.5300002      0.7085658364222                  nan             0.463146      0.2454198364222
            881.197528           12.8899378              MQEAE13               MQC1LE            0.5300002      0.7143143478696                  nan            0.6408386      0.0734757478696
           947.4355886           13.8650143              MQD3E12               MQC1LE            0.5300002       0.524437045289                  nan            0.6159151      -0.091478054711
           983.8943327           14.3286622              MQEAE16               MQC1LE            0.5300002      0.4539719900411                  nan             0.079563      0.3744089900411
          1023.1059944           14.9882786              MQD3E14               MQC1LE            0.5300002      0.6905195570616                  nan            0.7391794     -0.0486598429384
