@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:49:59"
@ Model_directory %s "model/"
@ Q1 %le 0.5439538506665476
@ Q2 %le 0.5978671858951496
@ RMSbetabeat %le 1.1450302414547047
@ RescalingFactor %le 0.7989695044828478
@ FILENAME %s "getampbetay.out"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            DELTABETY              BETYRES           BETYSTDRES
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1        3.92684874623                    0           93.6285972            0.2490992     -0.9580593017127       3.137432396954                    0
                MQC2LE            2.2500008                    1       4.291718005727                    0          291.1407337            0.2499778     -0.9852589572363       3.428951808416                    0
               MQLC3LE           12.9355133                    1       21.52534023982                    0            7.6774363            0.2953789       1.803714599341       17.19809042524                    0
               MQLC7LE           27.2720861                    1       6.466660895383                    0          227.9670433            0.7492946     -0.9716333519013       5.166664851242                    0
               MQLB1LE           55.2235731                    1       35.03447770286                    0          227.9626232            1.2500394     -0.8463148159507       27.99147929007                    0
               MQLB4LE           77.1787307                    1       2.617693387523                    0           18.1118897            1.9465966     -0.8554709955238       2.091457188718                    0
               MQLA2LE           98.9121927                    1       4.285910494597                    0           17.1404258            2.4533248     -0.7499530907454       3.424311784126                    0
               MQLA5LE          119.0986538                    1       9.086464991291                    0          234.1217208              2.94926     -0.9611891414421       7.259808431592                    0
                MQD3E1          164.5639584                    1        1.77555931157                    0           20.9498176            3.4064553     -0.9152470276605       1.418617743345                    0
                MQEAE4          230.8020191                    1        16.2585332734                    0            7.6858431            4.3815318       1.115387090506       12.99007227306                    0
                MQD3E4          270.0136808                    1       15.22205017742                    0           20.9498176            5.0411482     -0.2734041666586       12.16195388747                    0
                MQEAE6          306.4724249                    1       9.541412044326                    0            7.6858431            5.5047961      0.2414268571689       7.623297253122                    0
              MQTATNE1          354.4092937                    1       5.100055046347                    0           14.5078121            6.2268103     -0.6484614626111       4.074788453215                    0
              MQTATNE2          397.7476034                    1       25.53246550158                    0           14.5078121            6.6685508       0.759911510129       20.39966131002                    0
                MQEAE8          472.7108711                    1       6.876960923166                    0            7.6858431            7.7060253     -0.1052431289983        5.49448206113                    0
                MQD3E8          511.9225329                    1       5.828956201377                    0           20.9498176            8.3656416     -0.7217657779809       4.657158247867                    0
               MQEAE10          548.3812769                    1       38.78599065061                    0            7.6858431            8.8292895       4.046419780624         30.988823731                    0
               MQEAE11          597.0252838                    1       9.704008495753                    0            7.6858431            9.6370935      0.2625821747197       7.753206859349                    0
               MQR2NE1          696.7698054                    1        13.9307154023                    0            9.2517301             10.85891      0.5057416560713       11.13021678207                    0
               MQFRNE3          753.3246054                    1       15.21780907242                    0            9.2517568           11.4337841      0.6448561501766        12.1585653739                    0
               MQDRNE5          781.6020054                    1       14.33022910713                    0           30.1970047           11.7122452     -0.5254420347482       11.44941604885                    0
               MQEAE13           881.197528                    1        9.88724691387                    0            7.6858431           12.8899378      0.2864232050053       7.899608767474                    0
               MQD3E12          947.4355886                    1         11.072306607                    0           20.9498176           13.8650143     -0.4714843432816       8.846435323273                    0
               MQEAE16          983.8943327                    1       11.34489317682                    0            7.6858431           14.3286622      0.4760766033364       9.064223679898                    0
               MQD3E14         1023.1059944                    1       2.740030645902                    0           20.9498176           14.9882786     -0.8692098089722       2.189200927424                    0
               MQEAE18         1059.5647385                    1       18.50163125669                    0            7.6858431           15.4519265       1.407235096523       14.78223915728                    0
              MQTANFE1         1107.5016074                    1       2.114084810532                    0           14.5078121           16.1739407     -0.8542795566995       1.689089293505                    0
               MQD3E16         1189.3444407                    1        4.64820338407                    0           20.9498176           17.1895078     -0.7781267850241       3.713772754506                    0
               MQEAE20         1225.8031848                    1       4.151080122543                    0            7.6858431           17.6531557     -0.4599056904319       3.316586428577                    0
               MQD3E18         1265.0148465                    1      0.7008909210782                    0           20.9498176            18.312772     -0.9665442948258      0.5599904719103                    0
               MQEAE22         1301.4735906                    1       32.41704076009                    0            7.6858431           18.7764199       3.217759891571       25.90022699289                    0
               MQEAE23         1350.1175975                    1       10.63723360052                    0            7.6858431           19.5842239      0.3840034804399       8.498825258872                    0
                 MQI6E         1404.3012987                    1       48.88888396753                    0           27.8083512           20.2018289      0.7580648207411       39.06072739826                    0
                 MQI5E         1418.7440064                    1      0.5179161079424                    0           69.7334913           20.2546404     -0.9925729215864      0.4137991761264                    0
                 MQI4E         1424.1361014                    1       2.579037044544                    0           30.1163345           20.2734103     -0.9143641785309       2.060571949523                    0
                MQX2RE         1494.6206604                    1       44.97147937717                    0           22.2827608           21.2341795       1.018218468565       35.93084059384                    0
                 MQM2E         1564.3492168                    1       5.735357649144                    0           28.5508884           22.0286912     -0.7991180670531       4.582375858968                    0
                 MQM7E         1608.8759522                    1       7.519582668524                    0           35.6097046           22.6624348     -0.7888333320091       6.007917238588                    0
               MQD3E21         1671.2575666                    1      0.0372103338388                    0           20.9498176           23.4501631     -0.9982238349493     0.02972992198883                    0
               MQEAE27         1710.4692283                    1       13.64001878044                    0            7.6858431           24.1097794       0.774693888878       10.89795904615                    0
               MQD3E23         1746.9279724                    1       3.806815591825                    0           20.9498176           24.5734273     -0.8182888431532       3.041529567058                    0
               MQEAE29         1786.1396341                    1       8.783391345933                    0            7.6858431           25.2330437      0.1428012817401       7.017661831339                    0
               MQEAE30          1813.166033                    1        5.69141384503                    0            7.6858431           25.5485039     -0.2594938810253        4.54726609957                    0
              MQTAFOE1         1861.1278611                    1       29.09091460656                    0           13.8843623           26.2818318       1.095228716883       23.24275362816                    0
              MQTAFOE2         1905.3942301                    1       49.88210000371                    0           13.8843623           26.7136413       2.592682107101       39.85427672253                    0
               MQEAE32         1980.3824571                    1       3.499181943825                    0            7.6858431           27.7624294     -0.5447237344951       2.795739663753                    0
               MQD3E29         2065.4852081                    1       2.461215401109                    0           20.9498176           29.0338813     -0.8825185284138        1.96643604945                    0
               MQEAE35         2104.6968698                    1       24.22395897747                    0            7.6858431           29.6934976       2.151763399577       19.35420450084                    0
               MQDROE5         2288.3421939                    1       3.919354900353                    0           29.3993215           32.0959819     -0.8666855321694       3.131445042628                    0
               MQEAE37         2389.8065079                    1        12.9703094624                    0            7.6858431           33.3509534      0.6875584491694       10.36288172416                    0
               MQEAE39         2465.4769137                    1     0.09894703551258                    0            7.6858431           34.4742177      -0.987126066168     0.07905566393353                    0
               MQD3E33         2501.9356578                    1       14.07757586624                    0           20.9498176           34.9378656     -0.3280334876884       11.24755381417                    0
               MQEAE41         2541.1473195                    1      0.4475643815114                    0            7.6858431           35.5974819     -0.9417676921467      0.3575902921203                    0
              MQTAOTE1         2616.1355465                    1       2.242385497976                    0           13.8843623             36.64627     -0.8384956075385       1.791597630178                    0
              MQTAOTE2         2660.4019155                    1      0.6899463483375                    0           13.8843623           37.0780795      -0.950307667473       0.551246092051                    0
               MQEAE44         2735.3901425                    1       24.50580995219                    0            7.6858431           38.1268676       2.188434844862       19.57939483445                    0
               MQEAE45         2784.0341494                    1      0.9130019674448                    0            7.6858431           38.9346716     -0.8812099133998      0.7294607295212                    0
               MQD3E40           2850.27221                    1       38.44959315158                    0           20.9498176           39.9097482      0.8353187548314       30.72005238788                    0
               MQLA2RE         2920.9780873                    1       13.02405589469                    0            4.4997139           41.0885679        1.89441866397       10.40582348453                    0
               MQLB8RE         2942.8131119                    1       2.538101733694                    0            2.4274661           41.6299859     0.04557659268393       2.027865884496                    0
               MQLB1RE         2960.9918734                    1       95.24451448326                    0          263.1461398           42.3540933     -0.6380546773149        76.0974625414                    0
               MQLC7RE         2989.1433603                    1       32.25156931754                    0          263.1507975            42.854773     -0.8774407312311       25.76802035643                    0
               MQLC3RE         3003.3799331                    1        44.8782770667                    0           25.6036831           43.3284036      0.7528055198708       35.85637479003                    0
                MQC2RE         3013.8146988                    1       32.04288915387                    0          263.7467378           43.3540103     -0.8785088702095       25.60129126947                    0
                MQC1RE         3015.7846995                    1         1.2787485895                    0           93.6284372           43.3550008     -0.9863423055245       1.021681126911                    0
