@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetax.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "0.71 s"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ RMS_BETABEAT %s "26.321 %"
@ Date %s "19. July 2019, 23:26:29"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
*                 NAME                    S              BETXMDL              ALFXMDL                 BETX             STATBETX              SYSBETX              ERRBETX                 ALFX             STATALFX              SYSALFX              ERRALFX                 CORR                NCOMB               BBEATX            DELTABETX
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC1LE            0.5300002            2.9087358           -5.2990847        3.83296773409                    0                    0       3.979906630205      -7.105777578539                    0                    0       14.67342997009                    0                   23       0.317743513897       0.317743513897
                MQC2LE            2.2500008          142.9688048         -106.7116067       77.08060178637                    0                    0       214.1864306894      -56.17383382533                    0                    0       318.2701675607                    0                   20     -0.4608571996234     -0.4608571996234
               MQLC3LE           12.9355133           26.9933253            1.1608736        22.1260136101                    0                    0       43.27172062008       1.078851510726                    0                    0       4.751542983367                    0                   27     -0.1803153792948     -0.1803153792948
               MQLC7LE           27.2720861            9.3764221           -1.0647787       9.120098634058                    0                    0       14.56649537724      -1.253338669621                    0                    0       4.317307344447                    0                   41    -0.02733702292928    -0.02733702292928
               MQLB1LE           55.2235731           12.5617527           -1.9840866       11.61960688465                    0                    0       15.60210332444      -1.993240990412                    0                    0        5.47106373747                    0                   43    -0.07500114337971    -0.07500114337971
               MQLB4LE           77.1787307           35.3516866            4.2598365       31.44460966239                    0                    0       32.36839707869       3.915916240808                    0                    0        7.79757852033                    0                   28     -0.1105202414192     -0.1105202414192
               MQLA2LE           98.9121927           36.8830728           -6.1504106       33.97815781545                    0                    0       32.61916408879      -5.466455049633                    0                    0       10.61847429152                    0                   35    -0.07876011308226    -0.07876011308226
               MQLA5LE          119.0986538           10.0415612           -3.1555304       10.41344125256                    0                    0       9.448682026715      -3.100426121076                    0                    0       5.670181651018                    0                   36     0.03703408714593     0.03703408714593
                MQD3E1          164.5639584            7.4403317            0.2028379       7.601803820809                    0                    0       7.176324180874     -0.2382606814042                    0                    0      0.9997373881879                    0                   45     0.02170227448453     0.02170227448453
                MQEAE4          230.8020191           48.5050151           -5.6463304       53.42420653238                    0                    0       43.92979283541      -6.361539097653                    0                    0       10.27721897474                    0                   45      0.1014161406247      0.1014161406247
                MQD3E4          270.0136808            7.4403317           -0.2028379       9.115401166796                    0                    0       6.229660781826     -0.2904063613249                    0                    0       1.039603819391                    0                   45      0.2251337083259      0.2251337083259
                MQEAE6          306.4724249           48.5050151           -5.6463304       58.56073094846                    0                    0       43.00353162842      -6.756933641377                    0                    0       10.00656959743                    0                   36      0.2073129103812      0.2073129103812
              MQTATNE1          354.4092937           45.9537751            4.4063204       35.87632479542                    0                    0        44.2402592318       3.607287802905                    0                    0       8.467563166122                    0                   37     -0.2192953741593     -0.2192953741593
              MQTATNE2          397.7476034           45.9537751           -4.4063204        39.0186887566                    0                    0       46.68595545704      -3.529681682953                    0                    0       9.005505855425                    0                   35     -0.1509143988347     -0.1509143988347
                MQEAE8          472.7108711           48.5050151           -5.6463304       50.47521602509                    0                    0       37.13621608761      -5.816796599913                    0                    0       8.754874139907                    0                   33       0.040618499366       0.040618499366
                MQD3E8          511.9225329            7.4403317           -0.2028379       8.024504622518                    0                    0       8.166953027334     -0.1337833690359                    0                    0      0.9560048631278                    0                   40     0.07851436549768     0.07851436549768
               MQEAE10          548.3812769           48.5050151           -5.6463304        50.4373170013                    0                    0        49.0150714129      -5.775354147935                    0                    0       11.10223130221                    0                   23     0.03983715698917     0.03983715698917
               MQEAE11          597.0252838           48.5050151            5.6463304        46.2135184433                    0                    0       48.29571787187       5.714180307251                    0                    0       11.22312154066                    0                   27    -0.04724246868036    -0.04724246868036
               MQR2NE1          696.7698054           28.8232835            1.9137339       31.43563447868                    0                    0       26.81957171461       1.952108884017                    0                    0       3.474886000652                    0                   41     0.09063335822529     0.09063335822529
               MQFRNE3          753.3246054           28.8233021            1.9137359       33.15187219058                    0                    0       23.74730963986       2.112758666448                    0                    0       3.187475962273                    0                   35       0.150176065031       0.150176065031
               MQDRNE5          781.6020054            8.5241331            -0.615502       7.678356516524                    0                    0       6.991734343044     -0.6246629732803                    0                    0       1.797201129187                    0                   44    -0.09922141918176    -0.09922141918176
               MQEAE13           881.197528           48.5050151            5.6463304       49.23105140991                    0                    0       51.24620256822       5.738721698263                    0                    0       12.30817906428                    0                   36     0.01496827304173     0.01496827304173
               MQD3E12          947.4355886            7.4403317           -0.2028379       7.291833783191                    0                    0       6.811973548678     -0.2006498248836                    0                    0       1.160871020094                    0                   45    -0.01995850760375    -0.01995850760375
               MQEAE16          983.8943327           48.5050151           -5.6463304       45.72134157584                    0                    0       41.40758378301      -5.338845436604                    0                    0       9.478116099585                    0                   45    -0.05738939609483    -0.05738939609483
               MQD3E14         1023.1059944            7.4403317           -0.2028379       6.950382380208                    0                    0       7.069001258665     -0.2440070369517                    0                    0       1.429962046015                    0                   45    -0.06585046736457    -0.06585046736457
               MQEAE18         1059.5647385           48.5050151           -5.6463304       45.07505211671                    0                    0       52.06493267195      -5.342232845969                    0                    0       12.63496402968                    0                   45    -0.07071357417827    -0.07071357417827
              MQTANFE1         1107.5016074           45.9537751            4.4063204       48.62477009791                    0                    0        44.0013449254       4.682043131139                    0                    0       8.606482749092                    0                   45     0.05812351633992     0.05812351633992
               MQD3E16         1189.3444407            7.4403317           -0.2028379       7.680764680381                    0                    0       6.285430198249    -0.05733198504439                    0                    0       1.131161199677                    0                   45     0.03231482010155     0.03231482010155
               MQEAE20         1225.8031848           48.5050151           -5.6463304       47.00565760217                    0                    0       37.76420403225      -5.319534423971                    0                    0       8.790376971317                    0                   45    -0.03091139121884    -0.03091139121884
               MQD3E18         1265.0148465            7.4403317           -0.2028379       6.490173095208                    0                    0        7.46199193915     -0.1354297290912                    0                    0       1.238915063933                    0                   45     -0.1277037964305     -0.1277037964305
               MQEAE22         1301.4735906           48.5050151           -5.6463304       42.71782091275                    0                    0        45.5918420014      -4.997576165753                    0                    0       10.65177994111                    0                   45      -0.119311254214      -0.119311254214
               MQEAE23         1350.1175975           48.5050151            5.6463304       52.80602876299                    0                    0       46.83723536619       6.083893760398                    0                    0       11.33931096686                    0                   28     0.08867152508093     0.08867152508093
                 MQI6E         1404.3012987           12.5196316           -1.2996081       14.42677421907                    0                    0       11.65501090696      -1.533231179727                    0                    0       2.413079595384                    0                   28      0.1523321675913      0.1523321675913
                 MQI5E         1418.7440064           36.6707357           -4.5163713       38.24976830538                    0                    0       28.77946833496      -4.561716400017                    0                    0       6.914717967204                    0                   44     0.04305974710449     0.04305974710449
                 MQI4E         1424.1361014          102.3414091           -7.6626934       107.0625474097                    0                    0       75.49063354121      -7.898338990321                    0                    0       11.09364005129                    0                   43      0.0461312615412      0.0461312615412
                MQX2RE         1494.6206604            79.143814            6.9773227       82.03267455955                    0                    0       77.18547403987       7.193955435381                    0                    0       13.25859487207                    0                   27     0.03650140691413     0.03650140691413
                 MQM2E         1564.3492168           29.3408767           -0.5146595       26.47212797458                    0                    0       27.92182411362     -0.4968575741367                    0                    0       1.490754508476                    0                   44    -0.09777310864816    -0.09777310864816
                 MQM7E         1608.8759522            5.5669757            0.5811089        6.53022886335                    0                    0       5.780733178965      0.4344332662732                    0                    0       1.481717986173                    0                   35      0.1730298846733      0.1730298846733
               MQEAE25         1634.7988225           48.5050151            5.6463304       54.38206964202                    0                    0       51.15273178308        6.03495770299                    0                    0       11.40580498617                    0                   34      0.1211638534675      0.1211638534675
               MQD3E21         1671.2575666            7.4403317            0.2028379       7.062257611746                    0                    0       7.811761264459      0.1860324828716                    0                    0       1.111205710518                    0                   26    -0.05081414424757    -0.05081414424757
               MQEAE27         1710.4692283           48.5050151            5.6463304       55.43644171446                    0                    0       36.38149964127       6.454350891065                    0                    0       8.361659575156                    0                   42      0.1429012360922      0.1429012360922
               MQD3E23         1746.9279724            7.4403317            0.2028379       8.555867125586                    0                    0       6.503147123372      0.2929984147445                    0                    0       0.983151853923                    0                   42      0.1499308727843      0.1499308727843
               MQEAE29         1786.1396341           48.5050151            5.6463304        50.2154931967                    0                    0       45.97970869548       5.994129878151                    0                    0       10.84122167232                    0                   43      0.0352639431856      0.0352639431856
               MQEAE30          1813.166033           48.5050151           -5.6463304       54.49332555603                    0                    0       43.77540018611       -6.29871589553                    0                    0       10.10590466135                    0                   45      0.1234575526609      0.1234575526609
              MQTAFOE1         1861.1278611           48.1181067            4.8487187       45.95828276787                    0                    0       43.26316550759       4.763095846953                    0                    0       8.558924445822                    0                   45    -0.04488588766797    -0.04488588766797
              MQTAFOE2         1905.3942301           48.1181067           -4.8487187       50.08048343217                    0                    0        44.4060577411      -4.934456202026                    0                    0       9.374930880521                    0                   36     0.04078250094918     0.04078250094918
