@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetay.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "0.49 s"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ RMS_BETABEAT %s "301.519 %"
@ Date %s "19. July 2019, 23:26:29"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
*                 NAME                    S              BETYMDL              ALFYMDL                 BETY             STATBETY              SYSBETY              ERRBETY                 ALFY             STATALFY              SYSALFY              ERRALFY                 CORR                NCOMB               BBEATY            DELTABETY
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC1LE            0.5300002           93.6285972         -176.6390896        9.95534980665                    0                    0        381.394911105      -18.46258030651                    0                    0        1436.08211114                    0                    1     -0.8936719111002     -0.8936719111002
                MQC2LE            2.2500008          291.1407337             168.5324       504.2110794584                    0                    0       993.2616955101        432.962763025                    0                    0       1387.335575973                    0                    2      0.7318465645483      0.7318465645483
               MQLC3LE           12.9355133            7.6774363            3.9602896       2.694405920975                    0                    0       8.283952980692      0.6517714157769                    0                    0       9.791088829383                    0                   25     -0.6490487428759     -0.6490487428759
               MQLC7LE           27.2720861          227.9670433            2.7768696       89.30622030714                    0                    0       699.6948686248       1.491674620769                    0                    0       19.43643763206                    0                    8     -0.6082494249416     -0.6082494249416
               MQLB1LE           55.2235731          227.9626232           -2.7726728       93.75037084208                    0                    0       537.5387675135      -2.952644070911                    0                    0       12.35583449193                    0                    5     -0.5887467448564     -0.5887467448564
               MQLB4LE           77.1787307           18.1118897           -5.8434664       85.95269933467                    0                    0       41.50458516773       -31.6369404615                    0                    0       28.71169057882                    0                   10       3.745650551012       3.745650551012
               MQLA2LE           98.9121927           17.1404258            6.7980612      -1.294308182047                    0                    0       24.05339925977     -0.5034177253985                    0                    0       18.13781606276                    0                   11      -1.075512020363      -1.075512020363
               MQLA5LE          119.0986538          234.1217208           14.3138633       32.23658723195                    0                    0       389.6036618058       3.112089181508                    0                    0       56.43726070656                    0                    6     -0.8623084303251     -0.8623084303251
                MQD3E1          164.5639584           20.9498176            1.7084092      -27.97618814339                    0                    0       20.27499483057     -0.4749300307773                    0                    0        3.04521497822                    0                   16      -2.335390535495      -2.335390535495
                MQEAE4          230.8020191            7.6858431            1.2526734      -8.737526500348                    0                    0       6.752616636965      -1.539053132293                    0                    0       2.230082297805                    0                    9      -2.136833836791      -2.136833836791
                MQD3E4          270.0136808           20.9498176           -1.7084092      -16.14444437226                    0                    0       15.74763325607       1.438021864822                    0                    0       2.974914042516                    0                   16      -1.770624579197      -1.770624579197
                MQEAE6          306.4724249            7.6858431            1.2526734       6.710125112181                    0                    0       10.23860770106     -0.4846307672437                    0                    0       3.273940732706                    0                    7     -0.1269500268381     -0.1269500268381
              MQTATNE1          354.4092937           14.5078121           -1.2253565       10.66388071708                    0                    0        12.8676516257     -0.8744587713079                    0                    0       2.147682573694                    0                   26     -0.2649559669249     -0.2649559669249
              MQTATNE2          397.7476034           14.5078121            1.2253565      -22.49818516498                    0                    0        14.3510449313      -3.920030079559                    0                    0       2.836939929785                    0                   24      -2.550763479007      -2.550763479007
                MQEAE8          472.7108711            7.6858431            1.2526734      0.1421332536592                    0                    0       6.925058851479      0.5205810896456                    0                    0         2.7224509278                    0                   27     -0.9815071356766     -0.9815071356766
                MQD3E8          511.9225329           20.9498176           -1.7084092       42.96399248932                    0                    0       19.04611239307      -3.106663040421                    0                    0       3.526024860501                    0                   21       1.050805086213       1.050805086213
               MQEAE10          548.3812769            7.6858431            1.2526734      0.5120930335491                    0                    0       6.378257108727     -0.5381361341631                    0                    0        2.05287295612                    0                   20      -0.933371911593      -0.933371911593
               MQEAE11          597.0252838            7.6858431           -1.2526734      -6.943408247075                    0                    0        9.19484729204       1.147989508493                    0                    0       2.797315188875                    0                   27      -1.903402288693      -1.903402288693
               MQR2NE1          696.7698054            9.2517301           -0.6740765       6.260985263207                    0                    0       13.44971953507       1.142570299177                    0                    0       3.328883468152                    0                   14     -0.3232633036704     -0.3232633036704
               MQFRNE3          753.3246054            9.2517568           -0.6740695     -0.1864433078295                    0                    0        8.88049277834       -2.36895803069                    0                    0       2.008326814956                    0                   18      -1.020152205885      -1.020152205885
               MQDRNE5          781.6020054           30.1970047            1.9356985       70.90277801862                    0                    0       30.26577147797       6.310029282236                    0                    0       4.589156924165                    0                   28       1.348006986886       1.348006986886
               MQEAE13           881.197528            7.6858431           -1.2526734       6.342838804448                    0                    0       8.312665671008      -1.214371278336                    0                    0       3.229502178408                    0                   33     -0.1747374072146     -0.1747374072146
               MQD3E12          947.4355886           20.9498176           -1.7084092       12.09934277077                    0                    0       20.48348764402     -0.7652455156555                    0                    0       3.899441910695                    0                   27     -0.4224607105518     -0.4224607105518
               MQEAE16          983.8943327            7.6858431            1.2526734       13.51341362221                    0                    0       5.880347270465       5.183971575273                    0                    0       2.120233377009                    0                   28      0.7582213748556      0.7582213748556
               MQD3E14         1023.1059944           20.9498176           -1.7084092       38.86071760292                    0                    0       17.65009216177      -4.390608167336                    0                    0       3.032289027701                    0                   32      0.8549430045117      0.8549430045117
               MQEAE18         1059.5647385            7.6858431            1.2526734      0.5192997729699                    0                    0       8.191651618439     -0.2848393547511                    0                    0       2.695498022804                    0                   27     -0.9324342474582     -0.9324342474582
              MQTANFE1         1107.5016074           14.5078121           -1.2253565      -5.747332406234                    0                    0       13.63156372509      0.6190913423063                    0                    0       2.229431595133                    0                   25      -1.396154317868      -1.396154317868
               MQD3E16         1189.3444407           20.9498176           -1.7084092       68.90972817543                    0                    0        19.3125749038        -2.9457145946                    0                    0        3.10190499917                    0                   25       2.289275806173       2.289275806173
               MQEAE20         1225.8031848            7.6858431            1.2526734         22.276097525                    0                    0       6.633825871078       0.991278425295                    0                    0        2.68834747419                    0                   24       1.898328424763       1.898328424763
               MQD3E18         1265.0148465           20.9498176           -1.7084092       17.72366072658                    0                    0       21.10621504027      -2.692726225483                    0                    0       4.247307417196                    0                   24     -0.1539945089268     -0.1539945089268
               MQEAE22         1301.4735906            7.6858431            1.2526734       18.93199382083                    0                    0        13.1728365088      -1.740504730985                    0                    0       2.497512423561                    0                   14       1.463229287211       1.463229287211
               MQEAE23         1350.1175975            7.6858431           -1.2526734       28.35694538775                    0                    0        9.53095674592      -2.287820734482                    0                    0       2.147392026007                    0                   31       2.689503548121       2.689503548121
                 MQI6E         1404.3012987           27.8083512            1.2057705      -17.28472467198                    0                    0         25.681842841      -2.378984611871                    0                    0        2.68875844847                    0                   24      -1.621565965838      -1.621565965838
                 MQI5E         1418.7440064           69.7334913            4.4926479        20.9389899099                    0                    0       73.57217051103       1.221129006125                    0                    0       9.154274110652                    0                   32     -0.6997283583606     -0.6997283583606
                 MQI4E         1424.1361014           30.1163345            2.8546183       12.14601104095                    0                    0       32.19256924151      0.9891372386119                    0                    0       5.792656718935                    0                   26     -0.5966969007816     -0.5966969007816
                MQX2RE         1494.6206604           22.2827608            0.9330685       1.863468283979                    0                    0       25.45363467465     -0.2632203293745                    0                    0       1.807658650081                    0                   20     -0.9163717503094     -0.9163717503094
                 MQM2E         1564.3492168           28.5508884            1.3770404      -26.59838446228                    0                    0       33.43832608808     -0.4218897509665                    0                    0       3.990364105023                    0                   20      -1.931613198498      -1.931613198498
                 MQM7E         1608.8759522           35.6097046            -3.009263      -25.21596861639                    0                    0       29.56349051702       -2.77895393439                    0                    0        5.31828555427                    0                   20      -1.708120690684      -1.708120690684
               MQD3E21         1671.2575666           20.9498176            1.7084092        23.3142769882                    0                    0       17.79909027403       3.700050875136                    0                    0         2.9130734566                    0                   32      0.1128630059386      0.1128630059386
               MQEAE27         1710.4692283            7.6858431           -1.2526734       2.381757565851                    0                    0       6.459877663962     -0.2692966059957                    0                    0       1.970491760262                    0                   29     -0.6901110867263     -0.6901110867263
               MQD3E23         1746.9279724           20.9498176            1.7084092       71.67922084891                    0                    0       22.33310798629       8.997287598669                    0                    0       4.617939383851                    0                   24       2.421472311478       2.421472311478
               MQEAE29         1786.1396341            7.6858431           -1.2526734        4.99718792887                    0                    0       9.252396294054      -1.767783915658                    0                    0       3.868738728655                    0                   31     -0.3498191592189     -0.3498191592189
               MQEAE30          1813.166033            7.6858431            1.2526734     -0.2250879003272                    0                    0       8.814985867235       0.195306811611                    0                    0       3.816876879895                    0                   23      -1.029286038942      -1.029286038942
              MQTAFOE1         1861.1278611           13.8843623           -1.6545976       26.60746541141                    0                    0       15.15272484497      -4.068945182638                    0                    0       4.094030244084                    0                   31       0.916362079619       0.916362079619
              MQTAFOE2         1905.3942301           13.8843623            1.6545976      -9.006513715354                    0                    0       13.54608386364       -1.42279075239                    0                    0       2.888783585416                    0                   17      -1.648680401789      -1.648680401789
               MQEAE32         1980.3824571            7.6858431            1.2526734       3.709658313838                    0                    0       8.718411502416       0.207158009992                    0                    0       2.669851216215                    0                   26       -0.51733879217       -0.51733879217
               MQD3E29         2065.4852081           20.9498176            1.7084092      -60.83770620752                    0                    0       21.04203404778      -5.281290077847                    0                    0       3.812252810234                    0                   16      -3.903973073614      -3.903973073614
               MQEAE35         2104.6968698            7.6858431           -1.2526734      -8.045518618651                    0                    0       6.515400960066       2.304229303867                    0                    0       2.599771453003                    0                   23      -2.046797145605      -2.046797145605
               MQDROE5         2288.3421939           29.3993215           -2.5237427      -21.86514738738                    0                    0       26.97775841971        1.81226478755                    0                    0       4.645510508644                    0                   15      -1.743729660135      -1.743729660135
               MQEAE37         2389.8065079            7.6858431           -1.2526734      -1.989869218088                    0                    0       6.776132921709       2.186634556319                    0                    0       2.363579948688                    0                   24       -1.25890057762       -1.25890057762
               MQEAE39         2465.4769137            7.6858431           -1.2526734      -5.401581883309                    0                    0       7.122227588536      0.7643440197188                    0                    0       2.139529696432                    0                   14      -1.702796272709      -1.702796272709
               MQD3E33         2501.9356578           20.9498176            1.7084092      -55.02265733278                    0                    0       23.87528832182        3.83250730602                    0                    0       5.864435259112                    0                   15      -3.626402691581      -3.626402691581
