@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:49:59"
@ Model_directory %s "model/"
@ FILENAME %s "getcouple.out"
@ CG %le nan
@ CG_std %le nan
@ QG %le nan
@ Q1F %le 0.5439538506665476
@ Q2F %le 0.5978671858951496
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
              "MQEAE8"          472.7108711                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8747362352942     0.07686736209841      0.6937658214306      0.2137147532378                  nan                  nan                  nan                  nan
              "MQD3E8"          511.9225329                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8713579441175      0.1887950228582      0.5492313926976     0.04539162920324                  nan                  nan                  nan                  nan
             "MQFRNE3"          753.3246054                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.2375130577702     0.04887752228855       0.215966777029     0.01769552695452                  nan                  nan                  nan                  nan
            "MQTANFE1"         1107.5016074                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.2600033191346     0.02045267696781      0.2541192210898     0.04080745511473                  nan                  nan                  nan                  nan
               "MQI6E"         1404.3012987                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6556281380546     0.01714691508184      0.7352613069088      0.1571535869476                  nan                  nan                  nan                  nan
              "MQX2RE"         1494.6206604                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6793941754259     0.01755984234964      0.7671602827021     0.09880920439132                  nan                  nan                  nan                  nan
               "MQM2E"         1564.3492168                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.2488449035336     0.06278769653442      0.3827944038553      0.1395726746811                  nan                  nan                  nan                  nan
             "MQD3E23"         1746.9279724                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6865581551618      0.2143357317996     0.04678146162262      0.1915764128376                  nan                  nan                  nan                  nan
             "MQEAE30"          1813.166033                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6290533867989       0.221975019301      0.6261050530886      0.2138967457219                  nan                  nan                  nan                  nan
            "MQTAFOE2"         1905.3942301                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8090867176449      0.1859487193477      0.8647434850125     0.09561974884839                  nan                  nan                  nan                  nan
             "MQEAE44"         2735.3901425                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.5739043159797      0.1963802051701      0.8858208022693      0.1127384963041                  nan                  nan                  nan                  nan
