@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:49:59"
@ Model_directory %s "model/"
@ FILENAME %s "getcoupleterms.out"
@ DQMIN %le -1.0
@ DQMINE %le 1.48323969742e-08
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQEAE8          472.7108711                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                MQD3E8          511.9225329                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQFRNE3          753.3246054                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTANFE1         1107.5016074                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                 MQI6E         1404.3012987                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                MQX2RE         1494.6206604                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                 MQM2E         1564.3492168                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E23         1746.9279724                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE30          1813.166033                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAFOE2         1905.3942301                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE44         2735.3901425                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
