@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:26:29"
@ Model_directory %s "model/"
@ Q1 %le 0.5439538506665476
@ Q2 %le 0.5978671858951496
@ FILENAME %s "getphasetotx.out"
*                    S               MUXMDL                 NAME                NAME2                   S2               PHASEX               STDPHX               PHXMDL          DELTAPHASEX
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2203223               MQC1LE               MQC1LE            0.5300002                    0                  nan                    0                    0
             2.2500008            0.2410243               MQC2LE               MQC1LE            0.5300002      0.0196635405464                  nan             0.020702     -0.0010384594536
            12.9355133            0.2616968              MQLC3LE               MQC1LE            0.5300002      0.0384079566688                  nan            0.0413745     -0.0029665433312
            27.2720861            0.4721468              MQLC7LE               MQC1LE            0.5300002      0.2748706413234                  nan            0.2518245      0.0230461413234
            55.2235731            0.9879476              MQLB1LE               MQC1LE            0.5300002      0.7892904931013                  nan            0.7676253      0.0216651931013
            77.1787307            1.3202075              MQLB4LE               MQC1LE            0.5300002      0.1096236629584                  nan            0.0998852      0.0097384629584
            98.9121927            1.8242478              MQLA2LE               MQC1LE            0.5300002       0.614037423976                  nan            0.6039255       0.010111923976
           119.0986538            2.3120774              MQLA5LE               MQC1LE            0.5300002      0.1027299465915                  nan            0.0917551      0.0109748465915
           164.5639584            3.0072166               MQD3E1               MQC1LE            0.5300002       0.357244890497                  nan            0.7868943      -0.429649409503
           230.8020191            4.0807687               MQEAE4               MQC1LE            0.5300002      0.8920275666361                  nan            0.8604464      0.0315811666361
           270.0136808            4.6861856               MQD3E4               MQC1LE            0.5300002      0.4911781618569                  nan            0.4658633      0.0253148618569
           306.4724249            5.2289045               MQEAE6               MQC1LE            0.5300002      0.0259640839678                  nan    0.008582199999999      0.0173818839678
           354.4092937            5.9292318             MQTATNE1               MQC1LE            0.5300002      0.7079302643627                  nan            0.7089095     -0.0009792356373
           397.7476034            6.4015278             MQTATNE2               MQC1LE            0.5300002      0.1791281770142                  nan            0.1812055     -0.0020773229858
           472.7108711            7.5699902               MQEAE8               MQC1LE            0.5300002      0.3686759474473                  nan            0.3496679     0.01900804744734
           511.9225329            8.1754072               MQD3E8               MQC1LE            0.5300002        0.97506303128                  nan            0.9550849        0.01997813128
           548.3812769             8.718126              MQEAE10               MQC1LE            0.5300002      0.5164068927475                  nan            0.4978037      0.0186031927475
           597.0252838            9.3981267              MQEAE11               MQC1LE            0.5300002       0.727313474837                  nan            0.1778044      -0.450490925163
           696.7698054           10.9206195              MQR2NE1               MQC1LE            0.5300002      0.2520938308259                  nan            0.7002972     -0.4482033691741
           753.3246054           11.5379038              MQFRNE3               MQC1LE            0.5300002      0.8725286882402                  nan            0.3175815     -0.4450528117598
           781.6020054            11.856421              MQDRNE5               MQC1LE            0.5300002      0.1882056670838                  nan            0.6360987     -0.4478930329162
            881.197528           13.2020923              MQEAE13               MQC1LE            0.5300002      0.5353252935173                  nan              0.98177     -0.4464447064827
           947.4355886           14.2756444              MQD3E12               MQC1LE            0.5300002       0.608950374158                  nan            0.0553221      -0.446371725842
           983.8943327           14.8183633              MQEAE16               MQC1LE            0.5300002      0.1517961457331                  nan             0.598041     -0.4462448542669
          1023.1059944           15.4237802              MQD3E14               MQC1LE            0.5300002      0.7595992621386                  nan            0.2034579     -0.4438586378614
          1059.5647385           15.9664991              MQEAE18               MQC1LE            0.5300002      0.3066752018639                  nan            0.7461768     -0.4395015981361
          1107.5016074           16.6668263             MQTANFE1               MQC1LE            0.5300002      0.9915153729519                  nan             0.446504     -0.4549886270481
          1189.3444407            17.764866              MQD3E16               MQC1LE            0.5300002      0.0785806424648                  nan            0.5445437     -0.4659630575352
          1225.8031848           18.3075848              MQEAE20               MQC1LE            0.5300002       0.621524602047                  nan            0.0872625      -0.465737897953
          1265.0148465           18.9130018              MQD3E18               MQC1LE            0.5300002      0.2327609317563                  nan            0.6926795     -0.4599185682437
