@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/home/akoval/work_afs/job3_Paul_Andreas_bbeating_tracking/git/SKEKB_TbT_analysis"
@ Date %s "22. July 2019, 10:49:59"
@ Model_directory %s "model/"
@ Q1 %le 0.5439538506665476
@ Q2 %le 0.5978671858951496
@ FILENAME %s "getphasetoty.out"
*                    S               MUYMDL                 NAME                NAME2                   S2               PHASEY               STDPHY               PHYMDL          DELTAPHASEY
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2490992               MQC1LE               MQC1LE            0.5300002                    0                  nan                    0                    0
             2.2500008            0.2499778               MQC2LE               MQC1LE            0.5300002      0.3095657009504                  nan            0.0008786      0.3086871009504
            12.9355133            0.2953789              MQLC3LE               MQC1LE            0.5300002      0.7442444633373                  nan            0.0462797     -0.3020352366627
            27.2720861            0.7492946              MQLC7LE               MQC1LE            0.5300002      0.6522798357104                  nan            0.5001954      0.1520844357104
            55.2235731            1.2500394              MQLB1LE               MQC1LE            0.5300002      0.4109562778419                  nan   0.0009401999999998      0.4100160778419
            77.1787307            1.9465966              MQLB4LE               MQC1LE            0.5300002      0.7938504052085                  nan            0.6974974      0.0963530052085
            98.9121927            2.4533248              MQLA2LE               MQC1LE            0.5300002      0.5337528279297                  nan            0.2042256      0.3295272279297
           119.0986538              2.94926              MQLA5LE               MQC1LE            0.5300002      0.9545379732571                  nan            0.7001608      0.2543771732571
           164.5639584            3.4064553               MQD3E1               MQC1LE            0.5300002       0.467901762144                  nan            0.1573561       0.310545662144
           230.8020191            4.3815318               MQEAE4               MQC1LE            0.5300002      0.5375962701059                  nan            0.1324326      0.4051636701059
           270.0136808            5.0411482               MQD3E4               MQC1LE            0.5300002      0.7779866157484                  nan             0.792049     -0.0140623842516
           306.4724249            5.5047961               MQEAE6               MQC1LE            0.5300002       0.945724156899                  nan            0.2556969      -0.309972743101
           354.4092937            6.2268103             MQTATNE1               MQC1LE            0.5300002      0.1173773413694                  nan            0.9777111      0.1396662413694
           397.7476034            6.6685508             MQTATNE2               MQC1LE            0.5300002      0.9174098598014                  nan            0.4194516      0.4979582598014
           472.7108711            7.7060253               MQEAE8               MQC1LE            0.5300002      0.0869771585962                  nan            0.4569261     -0.3699489414038
           511.9225329            8.3656416               MQD3E8               MQC1LE            0.5300002      0.1423045378114                  nan            0.1165424      0.0257621378114
           548.3812769            8.8292895              MQEAE10               MQC1LE            0.5300002      0.2379073150732                  nan            0.5801903     -0.3422829849268
           597.0252838            9.6370935              MQEAE11               MQC1LE            0.5300002      0.8162215155741                  nan            0.3879943      0.4282272155741
           696.7698054             10.85891              MQR2NE1               MQC1LE            0.5300002      0.9742211668638                  nan            0.6098108      0.3644103668638
           753.3246054           11.4337841              MQFRNE3               MQC1LE            0.5300002      0.4314102949713                  nan            0.1846849      0.2467253949713
           781.6020054           11.7122452              MQDRNE5               MQC1LE            0.5300002      0.9493862824279                  nan             0.463146      0.4862402824279
            881.197528           12.8899378              MQEAE13               MQC1LE            0.5300002      0.6363361318742                  nan            0.6408386     -0.0045024681258
           947.4355886           13.8650143              MQD3E12               MQC1LE            0.5300002      0.5600645929209                  nan            0.6159151     -0.0558505070791
           983.8943327           14.3286622              MQEAE16               MQC1LE            0.5300002      0.8900390072191                  nan             0.079563     -0.1895239927809
          1023.1059944           14.9882786              MQD3E14               MQC1LE            0.5300002      0.2578275612445                  nan            0.7391794     -0.4813518387555
          1059.5647385           15.4519265              MQEAE18               MQC1LE            0.5300002      0.6581754076739                  nan            0.2028273      0.4553481076739
          1107.5016074           16.1739407             MQTANFE1               MQC1LE            0.5300002      0.4342899504138                  nan            0.9248415     -0.4905515495862
          1189.3444407           17.1895078              MQD3E16               MQC1LE            0.5300002       0.784135377381                  nan            0.9404086      -0.156273222619
          1225.8031848           17.6531557              MQEAE20               MQC1LE            0.5300002       0.879899420888                  nan            0.4040565       0.475842920888
          1265.0148465            18.312772              MQD3E18               MQC1LE            0.5300002      0.1677861995878                  nan            0.0636728      0.1041133995878
          1301.4735906           18.7764199              MQEAE22               MQC1LE            0.5300002      0.2291367223157                  nan            0.5273207     -0.2981839776843
          1350.1175975           19.5842239              MQEAE23               MQC1LE            0.5300002      0.7655467780651                  nan            0.3351247      0.4304220780651
          1404.3012987           20.2018289                MQI6E               MQC1LE            0.5300002      0.8275934776899                  nan            0.9527297     -0.1251362223101
          1418.7440064           20.2546404                MQI5E               MQC1LE            0.5300002      0.0464378682221                  nan            0.0055412      0.0408966682221
          1424.1361014           20.2734103                MQI4E               MQC1LE            0.5300002       0.072681249136                  nan            0.0243111       0.048370149136
          1494.6206604           21.2341795               MQX2RE               MQC1LE            0.5300002      0.8268666060296                  nan            0.9850803     -0.1582136939704
          1564.3492168           22.0286912                MQM2E               MQC1LE            0.5300002      0.3654120006549                  nan             0.779592     -0.4141799993451
          1608.8759522           22.6624348                MQM7E               MQC1LE            0.5300002      0.1929590178276                  nan            0.4133356     -0.2203765821724
          1671.2575666           23.4501631              MQD3E21               MQC1LE            0.5300002      0.2069723021374                  nan            0.2010639    0.005908402137399
          1710.4692283           24.1097794              MQEAE27               MQC1LE            0.5300002      0.9423040565944                  nan            0.8606802      0.0816238565944
          1746.9279724           24.5734273              MQD3E23               MQC1LE            0.5300002      0.7253126077693                  nan            0.3243281      0.4009845077693
          1786.1396341           25.2330437              MQEAE29               MQC1LE            0.5300002      0.5806726640306                  nan            0.9839445     -0.4032718359694
           1813.166033           25.5485039              MQEAE30               MQC1LE            0.5300002      0.9128123479404                  nan            0.2994047     -0.3865923520596
          1861.1278611           26.2818318             MQTAFOE1               MQC1LE            0.5300002      0.6769276470938                  nan            0.0327326     -0.3558049529062
          1905.3942301           26.7136413             MQTAFOE2               MQC1LE            0.5300002      0.8590569536918                  nan            0.4645421      0.3945148536918
          1980.3824571           27.7624294              MQEAE32               MQC1LE            0.5300002      0.1357298606493                  nan            0.5133302     -0.3776003393507
          2065.4852081           29.0338813              MQD3E29               MQC1LE            0.5300002      0.1307296599005                  nan            0.7847821      0.3459475599005
          2104.6968698           29.6934976              MQEAE35               MQC1LE            0.5300002       0.101251907055                  nan            0.4443984      -0.343146492945
          2288.3421939           32.0959819              MQDROE5               MQC1LE            0.5300002      0.3687778957059                  nan            0.8468827     -0.4781048042941
          2389.8065079           33.3509534              MQEAE37               MQC1LE            0.5300002      0.1849430084498                  nan            0.1018542      0.0830888084498
          2465.4769137           34.4742177              MQEAE39               MQC1LE            0.5300002      0.9212987830546                  nan            0.2251185     -0.3038197169454
          2501.9356578           34.9378656              MQD3E33               MQC1LE            0.5300002      0.5770542060806                  nan            0.6887664     -0.1117121939194
          2541.1473195           35.5974819              MQEAE41               MQC1LE            0.5300002      0.1639665708963                  nan            0.3483827     -0.1844161291037
          2616.1355465             36.64627             MQTAOTE1               MQC1LE            0.5300002      0.5354304542502                  nan            0.3971708      0.1382596542502
          2660.4019155           37.0780795             MQTAOTE2               MQC1LE            0.5300002      0.9245466207298                  nan            0.8289803      0.0955663207298
          2735.3901425           38.1268676              MQEAE44               MQC1LE            0.5300002      0.8479475279405                  nan            0.8777684    -0.02982087205949
          2784.0341494           38.9346716              MQEAE45               MQC1LE            0.5300002      0.7624018765935                  nan            0.6855724      0.0768294765935
            2850.27221           39.9097482              MQD3E40               MQC1LE            0.5300002      0.6573757432545                  nan             0.660649   -0.003273256745499
          2920.9780873           41.0885679              MQLA2RE               MQC1LE            0.5300002      0.7824326785208                  nan            0.8394687     -0.0570360214792
          2942.8131119           41.6299859              MQLB8RE               MQC1LE            0.5300002       0.087907386384                  nan            0.3808867      -0.292979313616
          2960.9918734           42.3540933              MQLB1RE               MQC1LE            0.5300002        0.76503752205                  nan            0.1049941       -0.33995657795
          2989.1433603            42.854773              MQLC7RE               MQC1LE            0.5300002      0.3196989420176                  nan            0.6056738     -0.2859748579824
          3003.3799331           43.3284036              MQLC3RE               MQC1LE            0.5300002      0.1420894389928                  nan            0.0793044      0.0627850389928
          3013.8146988           43.3540103               MQC2RE               MQC1LE            0.5300002      0.7295020150988                  nan            0.1049111     -0.3754090849012
          3015.7846995           43.3550008               MQC1RE               MQC1LE            0.5300002      0.0590786382525                  nan            0.1059016     -0.0468229617475
