@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output_example/unsynched_harmonic_output/HER_2019_05_20_18_30_09.sdds' '--output' 'output_example/unsynched_phase_output/HER_2019_05_20_18_30_09.sdds/'"
@ CWD %s "/nfs/sadnas1a/users/lzuyangrj/Kmodu/Adam/SKEKB_TbT_analysis"
@ Date %s "19. July 2019, 23:26:29"
@ Model_directory %s "model/"
@ Q1 %le 0.5439538506665476
@ Q2 %le 0.5978671858951496
@ FILENAME %s "getphasex.out"
*                    S               MUXMDL                 NAME                NAME2                   S2               PHASEX               STDPHX               PHXMDL          DELTAPHASEX
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2203223               MQC1LE               MQC2LE            2.2500008      0.0196635405464                  nan             0.020702     -0.0010384594536
             2.2500008            0.2410243               MQC2LE              MQLC3LE           12.9355133      0.0187444161224                  nan            0.0206725     -0.0019280838776
            12.9355133            0.2616968              MQLC3LE              MQLC7LE           27.2720861      0.2364626846546                  nan              0.21045      0.0260126846546
            27.2720861            0.4721468              MQLC7LE              MQLB1LE           55.2235731      0.5144198517779                  nan            0.5158008     -0.0013809482221
            55.2235731            0.9879476              MQLB1LE              MQLB4LE           77.1787307      0.3203331698571                  nan            0.3322599     -0.0119267301429
            77.1787307            1.3202075              MQLB4LE              MQLA2LE           98.9121927      0.5044137610176                  nan            0.5040403   0.0003734610175999
            98.9121927            1.8242478              MQLA2LE              MQLA5LE          119.0986538      0.4886925226155                  nan            0.4878296   0.0008629226154999
           119.0986538            2.3120774              MQLA5LE               MQD3E1          164.5639584      0.2545149439055                  nan            0.6951392     -0.4406242560945
           164.5639584            3.0072166               MQD3E1               MQEAE4          230.8020191      0.5347826761391                  nan            0.0735521      0.4612305761391
           230.8020191            4.0807687               MQEAE4               MQD3E4          270.0136808      0.5991505952208                  nan            0.6054169     -0.0062663047792
           270.0136808            4.6861856               MQD3E4               MQEAE6          306.4724249      0.5347859221109                  nan            0.5427189     -0.0079329778891
           306.4724249            5.2289045               MQEAE6             MQTATNE1          354.4092937      0.6819661803949                  nan            0.7003273     -0.0183611196051
           354.4092937            5.9292318             MQTATNE1             MQTATNE2          397.7476034      0.4711979126515                  nan             0.472296     -0.0010980873485
           397.7476034            6.4015278             MQTATNE2               MQEAE8          472.7108711      0.1895477704331                  nan            0.1684624     0.02108537043314
           472.7108711            7.5699902               MQEAE8               MQD3E8          511.9225329      0.6063870838327                  nan             0.605417     0.00097008383266
           511.9225329            8.1754072               MQD3E8              MQEAE10          548.3812769      0.5413438614675                  nan            0.5427188   -0.001374938532499
           548.3812769             8.718126              MQEAE10              MQEAE11          597.0252838      0.2109065820895                  nan            0.6800007     -0.4690941179105
           597.0252838            9.3981267              MQEAE11              MQR2NE1          696.7698054      0.5247803559889                  nan            0.5224928      0.0022875559889
           696.7698054           10.9206195              MQR2NE1              MQFRNE3          753.3246054      0.6204348574143                  nan            0.6172843      0.0031505574143
           753.3246054           11.5379038              MQFRNE3              MQDRNE5          781.6020054      0.3156769788436                  nan            0.3185172   -0.002840221156399
           781.6020054            11.856421              MQDRNE5              MQEAE13           881.197528      0.3471196264335                  nan            0.3456713    0.001448326433499
            881.197528           13.2020923              MQEAE13              MQD3E12          947.4355886      0.0736250806407                  nan            0.0735521   7.298064070121e-05
           947.4355886           14.2756444              MQD3E12              MQEAE16          983.8943327      0.5428457715751                  nan            0.5427189   0.0001268715750995
           983.8943327           14.8183633              MQEAE16              MQD3E14         1023.1059944      0.6078031164055                  nan            0.6054169      0.0023862164055
          1023.1059944           15.4237802              MQD3E14              MQEAE18         1059.5647385      0.5470759397253                  nan            0.5427189    0.004357039725289
          1059.5647385           15.9664991              MQEAE18             MQTANFE1         1107.5016074       0.684840171088                  nan            0.7003272    -0.01548702891199
          1107.5016074           16.6668263             MQTANFE1              MQD3E16         1189.3444407      0.0870652695129                  nan            0.0980397     -0.0109744304871
          1189.3444407            17.764866              MQD3E16              MQEAE20         1225.8031848      0.5429439595822                  nan            0.5427188   0.0002251595822005
          1225.8031848           18.3075848              MQEAE20              MQD3E18         1265.0148465      0.6112363297093                  nan             0.605417    0.005819329709301
          1265.0148465           18.9130018              MQD3E18              MQEAE22         1301.4735906      0.5482779891447                  nan            0.5427188    0.005559189144701
          1301.4735906           19.4557206              MQEAE22              MQEAE23         1350.1175975      0.6819370805325                  nan            0.6800006     0.00193648053255
          1350.1175975           20.1357212              MQEAE23                MQI6E         1404.3012987     0.00952778884293                  nan            0.0077888     0.00173898884293
          1404.3012987             21.14351                MQI6E                MQI5E         1418.7440064      0.1047025001543                  nan            0.1179528    -0.01325029984568
          1418.7440064           21.2614628                MQI5E                MQI4E         1424.1361014      0.0133851207212                  nan            0.0140267  -0.0006415792787987
          1424.1361014           21.2754895                MQI4E               MQX2RE         1494.6206604      0.3786127072867                  nan            0.3617457      0.0168670072867
          1494.6206604           22.6372352               MQX2RE                MQM2E         1564.3492168      0.0520601678711                  nan            0.0578742   -0.005814032128901
          1564.3492168           23.6951094                MQM2E                MQM7E         1608.8759522      0.7519753085773                  nan             0.734562      0.0174133085773
          1608.8759522           24.4296714                MQM7E              MQEAE25         1634.7988225      0.4772354737104                  nan            0.4790364   -0.001800926289598
          1634.7988225           24.9087078              MQEAE25              MQD3E21         1671.2575666      0.0048209152096                  nan            0.5427189      0.4621020152096
          1671.2575666           25.4514267              MQD3E21              MQEAE27         1710.4692283      0.6002399303595                  nan            0.6054169   -0.005176969640502
